	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID
5471	LOC105440219	4.48E-19	1.000395421	0.848	0.739	9.78E-15	"histone H2B.2, embryonic"	spu:105440219
3	delta	4.24E-45	0.985964962	0.538	0.153	9.25E-41	NA	NA
23110	LOC587506	5.74E-28	0.97881116	0.5	0.212	1.25E-23	transducin-like enhancer protein 4 isoform X1	spu:587506
16564	LOC373350	1.29E-24	0.976292972	0.88	0.759	2.82E-20	"histone H1-gamma, late"	spu:373350
18312	LOC577477	7.31E-33	0.96822326	0.759	0.487	1.60E-28	serine/threonine-protein kinase Nek1 isoform X1	spu:577477
18948	LOC578627	5.77E-35	0.967610125	0.829	0.632	1.26E-30	ras-related protein Rab-5B	spu:578627
3348	LOC100893240	6.04E-28	0.967450927	0.399	0.136	1.32E-23	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240
20466	LOC581507	6.20E-30	0.950232245	0.399	0.129	1.35E-25	structural maintenance of chromosomes protein 5 isoform X1	spu:581507
20472	LOC581517	6.74E-27	0.935242257	0.747	0.56	1.47E-22	ataxin-2-like protein isoform X2	spu:581517
22694	LOC586477	4.00E-37	0.933305533	0.835	0.636	8.72E-33	60S ribosomal protein L3	spu:586477
23809	LOC589199	3.60E-27	0.918002259	0.778	0.602	7.87E-23	centromere protein C	spu:589199
28122	LOC764368	1.16E-56	0.91354272	0.968	0.894	2.53E-52	40S ribosomal protein S8	spu:764368
25081	LOC592098	1.15E-37	0.911443649	0.892	0.754	2.52E-33	60S ribosomal protein L18a	spu:592098
21758	LOC584232	9.09E-72	0.907477185	0.259	0.025	1.98E-67	structural maintenance of chromosomes protein 6 isoform X1	spu:584232
20404	LOC581376	1.14E-51	0.904440026	0.968	0.842	2.49E-47	14-3-3 family protein artA isoform X1	spu:581376
19741	LOC580083	3.62E-32	0.901691719	0.854	0.724	7.89E-28	uncharacterized protein LOC580083 isoform X1	spu:580083
24255	LOC590220	5.37E-32	0.901420361	0.892	0.743	1.17E-27	NA	NA
25193	LOC592342	9.48E-20	0.897635563	0.462	0.224	2.07E-15	ubiquitin carboxyl-terminal hydrolase 5	spu:592342
25814	LOC593799	2.81E-44	0.889591279	0.937	0.755	6.13E-40	protein CDV3 homolog	spu:593799
25819	LOC593807	1.47E-27	0.889069315	0.791	0.603	3.22E-23	targeting protein for Xklp2 homolog isoform X1	spu:593807
6638	LOC105443339	1.05E-25	0.885100035	0.297	0.082	2.29E-21	NA	NA
24757	LOC591423	4.68E-18	0.883254855	0.475	0.256	1.02E-13	apoptotic chromatin condensation inducer in the nucleus isoform X1	spu:591423
23181	LOC587682	6.34E-33	0.880952585	0.291	0.065	1.38E-28	uncharacterized protein LOC587682	spu:587682
19155	LOC579034	2.73E-13	0.876185738	0.411	0.231	5.96E-09	transcriptional activator protein Pur-beta isoform X1	spu:579034
25517	LOC593041	3.67E-19	0.875923412	0.475	0.246	8.00E-15	male-specific lethal 3 homolog	spu:593041
22006	LOC584837	3.86E-15	0.873150145	0.563	0.412	8.43E-11	histone lysine demethylase PHF8 isoform X1	spu:584837
19183	LOC579085	1.24E-14	0.871427587	0.5	0.319	2.71E-10	"ATP synthase subunit gamma, mitochondrial"	spu:579085
8090	LOC105447187	9.89E-24	0.868958539	0.272	0.073	2.16E-19	uncharacterized protein LOC105447187	spu:105447187
17106	LOC575281	9.09E-32	0.86074397	0.816	0.631	1.98E-27	double-strand-break repair protein rad21 homolog	spu:575281
5617	LOC105440594	3.41E-10	0.853217881	0.392	0.246	7.45E-06	NA	NA
24736	LOC591382	1.13E-15	0.853192457	0.443	0.241	2.47E-11	PIN2/TERF1-interacting telomerase inhibitor 1	spu:591382
19475	LOC579629	4.29E-21	0.851701587	0.639	0.405	9.37E-17	NA	NA
22765	LOC586642	9.82E-22	0.850740514	0.506	0.257	2.14E-17	next to BRCA1 gene 1 protein	spu:586642
26792	LOC753921	2.63E-19	0.849331832	0.563	0.348	5.73E-15	protein FAM50A isoform X1	spu:753921
17573	LOC576144	3.35E-33	0.849055347	0.285	0.061	7.30E-29	importin subunit beta-1	spu:576144
17955	LOC576835	9.93E-79	0.843102057	1	0.969	2.17E-74	insulin-like growth factor 2 mRNA-binding protein 1 isoform X1	spu:576835
7525	LOC105445697	9.75E-17	0.842449933	0.367	0.165	2.13E-12	NA	NA
3930	LOC105436394	2.62E-24	0.841527947	0.778	0.629	5.73E-20	40S ribosomal protein S18	spu:105436394
18524	LOC577855	1.70E-13	0.841141972	0.424	0.238	3.72E-09	guanine nucleotide-binding protein-like NSN1	spu:577855
25959	LOC594186	7.20E-62	0.838410722	0.994	0.926	1.57E-57	small ubiquitin-related modifier 3	spu:594186
27930	LOC763676	1.16E-15	0.837552567	0.449	0.254	2.53E-11	vacuolar protein sorting-associated protein 72 homolog	spu:763676
18539	LOC577880	2.71E-18	0.836355604	0.506	0.279	5.92E-14	bromodomain adjacent to zinc finger domain protein 2B isoform X1	spu:577880
24624	LOC591088	9.72E-28	0.834765324	0.329	0.094	2.12E-23	heat shock factor protein 1 isoform X1	spu:591088
22861	LOC586862	7.32E-20	0.833349812	0.43	0.196	1.60E-15	46 kDa FK506-binding nuclear protein isoform X1	spu:586862
21441	LOC583495	3.02E-24	0.831558325	0.842	0.686	6.60E-20	40S ribosomal protein S4	spu:583495
8094	LOC105447194	1.15E-42	0.830995565	0.962	0.855	2.52E-38	gamma-aminobutyric acid receptor-associated protein	spu:105447194
20184	LOC580957	1.25E-48	0.83096414	0.975	0.878	2.73E-44	60S ribosomal protein L27	spu:580957
22792	LOC586702	4.02E-21	0.830624234	0.31	0.102	8.78E-17	uracil-DNA glycosylase	spu:586702
27246	LOC755970	1.31E-15	0.827935854	0.709	0.573	2.86E-11	NA	NA
24589	LOC590990	1.27E-16	0.822493756	0.386	0.179	2.77E-12	anillin isoform X1	spu:590990
17478	LOC575965	3.15E-29	0.820936202	0.829	0.567	6.88E-25	cyclin-dependent kinase 1	spu:575965
20078	LOC580739	2.68E-37	0.818618371	0.905	0.774	5.85E-33	RNA-binding protein cabeza isoform X1	spu:580739
23756	LOC589085	1.71E-29	0.807812336	0.873	0.773	3.72E-25	60S ribosomal protein L31	spu:589085
17549	LOC576113	2.26E-25	0.803325195	0.266	0.067	4.93E-21	ankyrin repeat and LEM domain-containing protein 1	spu:576113
19411	LOC579500	5.63E-19	0.802351317	0.367	0.149	1.23E-14	F-actin-capping protein subunit beta	spu:579500
24506	LOC590815	4.36E-16	0.799036157	0.329	0.131	9.53E-12	forkhead box protein N3	spu:590815
19037	LOC578813	1.67E-20	0.796353489	0.696	0.506	3.65E-16	ATP-dependent RNA helicase dbp2 isoform X1	spu:578813
23380	LOC588157	6.01E-40	0.793072794	0.949	0.847	1.31E-35	60S ribosomal protein L23a	spu:588157
21179	LOC582919	4.26E-13	0.790459845	0.392	0.214	9.29E-09	U3 small nucleolar RNA-interacting protein 2 isoform X1	spu:582919
4775	LOC105438521	1.16E-14	0.790261939	0.367	0.175	2.54E-10	pre-mRNA-splicing factor CWC22 homolog	spu:105438521
18217	LOC577326	7.71E-24	0.789087743	0.759	0.588	1.68E-19	cleavage and polyadenylation specificity factor subunit 6 isoform X1	spu:577326
5879	LOC105441354	4.52E-18	0.788464409	0.354	0.146	9.87E-14	NA	NA
28180	LOC764563	3.29E-18	0.788137951	0.62	0.412	7.19E-14	LOW QUALITY PROTEIN: cyclin-dependent kinase 11B	spu:764563
23506	LOC588503	1.51E-76	0.788131879	1	0.98	3.30E-72	heterogeneous nuclear ribonucleoprotein R isoform X1	spu:588503
25170	LOC592290	6.43E-15	0.788090432	0.544	0.373	1.40E-10	serine/arginine repetitive matrix protein 1 isoform X1	spu:592290
23655	LOC588846	3.82E-13	0.787994183	0.405	0.226	8.33E-09	U4/U6 small nuclear ribonucleoprotein Prp31	spu:588846
18736	LOC578228	2.30E-15	0.787878247	0.437	0.238	5.02E-11	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	spu:578228
18120	LOC577156	1.52E-18	0.786683116	0.601	0.402	3.32E-14	protein C19orf12 homolog isoform X1	spu:577156
28354	rps14	4.44E-31	0.785200213	0.899	0.792	9.70E-27	NA	NA
22774	LOC586668	1.20E-19	0.785030591	0.734	0.604	2.62E-15	NA	NA
18627	LOC578030	4.42E-11	0.780425456	0.367	0.21	9.64E-07	transforming acidic coiled-coil-containing protein 3 isoform X1	spu:578030
4303	LOC105437344	6.67E-17	0.779486392	0.259	0.086	1.46E-12	uncharacterized protein K02A2.6	spu:105437344
16506	LOC373246	4.13E-37	0.778441601	0.962	0.841	9.00E-33	60S ribosomal protein L18	spu:373246
19319	LOC579327	5.05E-12	0.778181473	0.487	0.34	1.10E-07	NA	NA
20248	LOC581071	4.26E-13	0.777851344	0.443	0.267	9.30E-09	PAX3- and PAX7-binding protein 1 isoform X1	spu:581071
24746	LOC591399	1.91E-19	0.776765989	0.323	0.117	4.17E-15	NA	NA
19618	LOC579871	2.35E-29	0.776422367	0.886	0.837	5.13E-25	DNA-binding protein HEXBP isoform X1	spu:579871
24502	LOC590809	4.60E-14	0.773175155	0.361	0.177	1.00E-09	SAP30-binding protein	spu:590809
20450	LOC581473	1.32E-27	0.772650683	0.297	0.077	2.88E-23	"glycine amidinotransferase, mitochondrial"	spu:581473
17846	LOC576654	7.91E-39	0.766094733	0.956	0.866	1.73E-34	40S ribosomal protein S26 isoform X1	spu:576654
25480	LOC592965	6.26E-30	0.763094874	0.873	0.768	1.37E-25	60S ribosomal protein L44	spu:592965
16788	LOC574702	9.58E-10	0.761387429	0.494	0.379	2.09E-05	CCR4-NOT transcription complex subunit 4 isoform X1	spu:574702
21514	LOC583658	1.59E-09	0.760775962	0.386	0.247	3.46E-05	zinc finger protein ubi-d4 isoform X2	spu:583658
1432	LOC100890040	5.62E-28	0.760129279	0.899	0.789	1.23E-23	lysosomal-associated transmembrane protein 4A	spu:100890040
25650	LOC593379	1.81E-13	0.760017219	0.361	0.177	3.96E-09	replication factor C subunit 1 isoform X1	spu:593379
17528	LOC576066	3.11E-16	0.760013714	0.335	0.139	6.79E-12	dual specificity mitogen-activated protein kinase kinase 1 isoform X2	spu:576066
17838	LOC576641	6.40E-20	0.759544014	0.481	0.228	1.40E-15	proliferation-associated protein 2G4	spu:576641
22000	LOC584816	3.20E-16	0.759434611	0.462	0.249	6.98E-12	rho guanine nucleotide exchange factor 3 isoform X1	spu:584816
26310	LOC752328	6.85E-37	0.759264681	0.937	0.789	1.50E-32	NA	NA
19885	LOC580365	8.04E-18	0.757505682	0.677	0.522	1.76E-13	mitochondrial-processing peptidase subunit beta	spu:580365
16734	LOC574601	2.35E-11	0.756711183	0.399	0.236	5.13E-07	T-complex protein 1 subunit gamma	spu:574601
26499	LOC752896	4.01E-29	0.751801676	0.842	0.716	8.75E-25	chromobox protein homolog 1	spu:752896
18979	LOC578693	4.28E-09	0.751724283	0.367	0.223	9.34E-05	lymphocyte-specific helicase	spu:578693
18513	LOC577835	1.94E-11	0.749652083	0.335	0.175	4.24E-07	AT-rich interactive domain-containing protein 5B	spu:577835
20115	LOC580818	4.05E-19	0.749217323	0.684	0.508	8.84E-15	AT-rich interactive domain-containing protein 1A isoform X1	spu:580818
25598	LOC593222	4.16E-16	0.74502048	0.759	0.647	9.08E-12	NA	NA
28353	rpl36	1.11E-29	0.744247861	0.905	0.796	2.42E-25	NA	NA
23704	LOC588942	9.74E-13	0.740251363	0.253	0.1	2.13E-08	NA	NA
24126	LOC589923	2.22E-19	0.739848411	0.81	0.701	4.84E-15	afadin isoform X1	spu:589923
17113	LOC575292	7.85E-15	0.739278776	0.557	0.384	1.71E-10	HMG box-containing protein 4 isoform X1	spu:575292
17792	LOC576544	4.01E-12	0.738087761	0.576	0.449	8.74E-08	protein ECT2	spu:576544
25067	LOC592065	3.57E-24	0.737003011	0.829	0.681	7.78E-20	plasminogen activator inhibitor 1 RNA-binding protein isoform X1	spu:592065
26947	LOC754442	1.91E-18	0.735428557	0.392	0.172	4.17E-14	parafibromin	spu:754442
20577	LOC581723	4.73E-10	0.732319025	0.481	0.349	1.03E-05	regulator of nonsense transcripts 1	spu:581723
27316	LOC756374	1.51E-18	0.731990731	0.62	0.431	3.30E-14	protein DEK	spu:756374
2810	LOC100892284	2.39E-14	0.731873775	0.285	0.112	5.21E-10	zinc finger CCCH domain-containing protein 4	spu:100892284
20803	LOC582130	1.03E-21	0.73096822	0.741	0.565	2.25E-17	eukaryotic translation initiation factor 3 subunit C	spu:582130
26891	LOC754248	6.72E-12	0.728156676	0.506	0.356	1.47E-07	NA	NA
19457	LOC579592	3.91E-15	0.727041935	0.424	0.223	8.53E-11	centrosomal protein of 164 kDa isoform X1	spu:579592
20619	LOC581803	6.43E-27	0.725520828	0.911	0.82	1.40E-22	60S ribosomal protein L11	spu:581803
17566	LOC576136	1.75E-10	0.722354101	0.487	0.351	3.82E-06	SWI/SNF complex subunit SMARCC2 isoform X1	spu:576136
18629	LOC578034	1.23E-43	0.721640024	0.968	0.89	2.68E-39	ribosomal protein L21-like	spu:578034
18522	LOC577852	2.70E-33	0.720428014	0.956	0.845	5.89E-29	60S ribosomal protein L30 isoform X2	spu:577852
27933	LOC763682	8.87E-12	0.720373325	0.392	0.226	1.94E-07	ankyrin repeat domain-containing protein 17 isoform X1	spu:763682
7712	LOC105446195	1.24E-15	0.71653747	0.639	0.488	2.71E-11	pre-mRNA-splicing factor CWC22 homolog	spu:105446195
28355	rps15a	6.89E-44	0.716473841	0.987	0.897	1.50E-39	NA	NA
21130	LOC582823	6.18E-06	0.715671175	0.443	0.357	0.134886324	60S ribosomal protein L10	spu:582823
16972	LOC575056	4.07E-10	0.715402149	0.589	0.494	8.89E-06	40S ribosomal protein S3a	spu:575056
19938	LOC580462	1.14E-24	0.713502735	0.861	0.763	2.48E-20	LOW QUALITY PROTEIN: 40S ribosomal protein S10	spu:580462
16464	LOC373183	3.38E-21	0.711573894	0.741	0.554	7.38E-17	40S ribosomal protein SA	spu:373183
20995	LOC582506	5.72E-11	0.710581942	0.348	0.188	1.25E-06	OTU domain-containing protein 5-B isoform X2	spu:582506
21243	LOC583048	1.11E-29	0.710327364	0.949	0.838	2.42E-25	60S ribosomal protein L6	spu:583048
25371	LOC592738	3.69E-27	0.710191556	0.867	0.754	8.06E-23	40S ribosomal protein S24	spu:592738
28199	LOC764638	2.19E-21	0.710152915	0.759	0.598	4.78E-17	glycogen synthase kinase-3 beta	spu:764638
25029	LOC591988	2.68E-15	0.709874756	0.31	0.126	5.86E-11	ankycorbin	spu:591988
25403	LOC592801	8.68E-26	0.708211979	0.873	0.751	1.89E-21	translation elongation factor 2	spu:592801
24558	LOC590938	8.04E-12	0.7066908	0.266	0.113	1.76E-07	"phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"	spu:590938
21881	LOC584503	4.43E-18	0.703640103	0.513	0.265	9.67E-14	"spectrin beta chain, non-erythrocytic 1 isoform X1"	spu:584503
25794	LOC593744	1.01E-21	0.703206049	0.886	0.766	2.21E-17	40S ribosomal protein S3	spu:593744
21895	LOC584530	3.65E-10	0.70177499	0.468	0.324	7.96E-06	H/ACA ribonucleoprotein complex subunit DKC1	spu:584530
25343	LOC592668	9.80E-24	0.701503355	0.848	0.743	2.14E-19	40S ribosomal protein S5	spu:592668
28076	LOC764213	2.03E-08	0.699321967	0.386	0.258	0.000443349	tyrosine-protein phosphatase non-receptor type 9	spu:764213
18584	LOC577954	4.52E-10	0.69913894	0.494	0.369	9.86E-06	ribosome biogenesis protein NSA2 homolog	spu:577954
24345	LOC590442	1.62E-14	0.698695292	0.595	0.438	3.54E-10	protein LSM12 homolog B isoform X2	spu:590442
21332	LOC583253	1.59E-09	0.697077377	0.323	0.179	3.47E-05	seali	spu:583253
20738	LOC582001	7.89E-12	0.69273479	0.456	0.281	1.72E-07	DNA topoisomerase 2-alpha isoform X1	spu:582001
23790	LOC589170	2.87E-13	0.69234357	0.665	0.561	6.27E-09	inhibitor of growth protein 4 isoform X1	spu:589170
2267	LOC100891405	5.40E-11	0.691600252	0.272	0.122	1.18E-06	uncharacterized protein LOC100891405	spu:100891405
18694	LOC578151	3.23E-28	0.690817336	0.93	0.851	7.05E-24	NA	NA
19301	LOC579300	2.85E-33	0.690320386	0.987	0.848	6.23E-29	NA	NA
24980	LOC591874	5.87E-34	0.690111982	0.93	0.858	1.28E-29	60S ribosomal protein L9	spu:591874
24316	LOC590359	4.38E-11	0.685691701	0.544	0.427	9.57E-07	SNW domain-containing protein 1	spu:590359
3515	LOC100893494	8.88E-10	0.683933025	0.411	0.265	1.94E-05	RWD domain-containing protein 4	spu:100893494
25913	LOC594043	1.39E-26	0.68171856	0.886	0.777	3.02E-22	heterogeneous nuclear ribonucleoprotein H3 isoform X1	spu:594043
21627	LOC583913	9.41E-14	0.681359498	0.703	0.633	2.05E-09	pre-mRNA-splicing factor SYF2 isoform X2	spu:583913
16597	LOC373418	9.02E-20	0.680620671	0.804	0.666	1.97E-15	ras-related protein ORAB-1 isoform X2	spu:373418
17045	LOC575174	4.37E-13	0.68000094	0.304	0.134	9.54E-09	LOW QUALITY PROTEIN: recombining binding protein suppressor of hairless-like	spu:575174
20179	LOC580948	1.19E-11	0.678962746	0.297	0.139	2.59E-07	FAS-associated factor 1	spu:580948
25815	LOC593800	9.13E-12	0.678410625	0.297	0.137	1.99E-07	TP53-binding protein 1 isoform X1	spu:593800
24811	LOC591551	1.34E-12	0.677395246	0.31	0.143	2.92E-08	tRNA pseudouridine synthase A	spu:591551
22820	LOC586769	9.90E-27	0.676219646	0.949	0.788	2.16E-22	60S ribosomal protein L17	spu:586769
27287	LOC756235	1.27E-10	0.674777426	0.525	0.395	2.76E-06	NA	NA
2867	LOC100892388	2.86E-11	0.673843981	0.373	0.207	6.24E-07	uncharacterized protein LOC100892388 isoform X2	spu:100892388
17371	LOC575764	6.95E-10	0.673717948	0.348	0.202	1.52E-05	ribosomal protein S6 kinase beta-1	spu:575764
21615	LOC583874	3.74E-10	0.673300101	0.348	0.192	8.17E-06	importin subunit alpha-1 isoform X1	spu:583874
23633	LOC588782	1.01E-08	0.672202625	0.354	0.218	0.000219419	"serine--tRNA ligase, cytoplasmic"	spu:588782
4982	LOC105439049	2.90E-10	0.670465481	0.449	0.306	6.32E-06	NA	NA
21909	LOC584560	3.85E-33	0.66926692	0.956	0.895	8.41E-29	60S ribosomal protein L37a	spu:584560
23313	LOC587995	2.57E-10	0.669018192	0.266	0.12	5.61E-06	roundabout homolog 1 isoform X1	spu:587995
18768	LOC578296	1.45E-12	0.668186728	0.449	0.278	3.17E-08	NF-kappa-B-activating protein	spu:578296
7799	LOC105446422	1.11E-13	0.666652551	0.373	0.19	2.42E-09	DNA-directed RNA polymerase I subunit RPA43	spu:105446422
21240	LOC583044	8.02E-13	0.666291094	0.297	0.13	1.75E-08	E3 ubiquitin-protein ligase ZNF598	spu:583044
24500	LOC590807	9.90E-20	0.662507362	0.253	0.074	2.16E-15	THO complex subunit 2 isoform X1	spu:590807
28357	VAMP	4.45E-11	0.6604589	0.481	0.334	9.71E-07	NA	NA
22251	LOC585431	1.56E-07	0.660173252	0.335	0.216	0.003395081	nitric oxide synthase-interacting protein	spu:585431
23171	LOC587667	8.84E-10	0.659108425	0.487	0.368	1.93E-05	protein max isoform X1	spu:587667
18654	LOC578079	1.67E-16	0.658220546	0.778	0.691	3.64E-12	uncharacterized protein LOC578079 isoform X1	spu:578079
19394	LOC579470	5.91E-11	0.656550211	0.544	0.428	1.29E-06	lysine-specific demethylase 4A isoform X1	spu:579470
28164	LOC764515	3.61E-06	0.656395844	0.323	0.218	0.078703648	upstream activation factor subunit spp27	spu:764515
7146	LOC105444707	2.28E-11	0.655773138	0.367	0.2	4.99E-07	NA	NA
27007	LOC754700	6.94E-07	0.654963364	0.297	0.182	0.015141335	regulator of chromosome condensation	spu:754700
17959	LOC576841	4.06E-08	0.65409378	0.551	0.477	0.000885476	pre-mRNA-splicing factor CWC22 homolog	spu:576841
21744	LOC584197	4.94E-08	0.653195985	0.43	0.312	0.001078512	uncharacterized protein LOC584197	spu:584197
2827	LOC100892314	1.02E-09	0.651245323	0.329	0.183	2.22E-05	sodium channel and clathrin linker 1	spu:100892314
22388	LOC585740	6.75E-08	0.646266456	0.443	0.334	0.001474038	uncharacterized protein LOC585740	spu:585740
932	LOC100889221	1.07E-08	0.645596162	0.5	0.388	0.000234036	uncharacterized protein LOC100889221	spu:100889221
24190	LOC590067	4.13E-25	0.64491505	0.886	0.798	9.00E-21	nucleolar protein 56	spu:590067
24829	LOC591582	2.90E-29	0.64389326	0.956	0.875	6.34E-25	probable 60S ribosomal protein L37-A isoform X1	spu:591582
18240	LOC577360	9.30E-09	0.643496909	0.462	0.349	0.000202849	survival of motor neuron-related-splicing factor 30	spu:577360
25279	LOC592537	4.99E-12	0.641130574	0.399	0.222	1.09E-07	macoilin	spu:592537
28027	LOC763990	1.18E-11	0.640156761	0.525	0.379	2.58E-07	NA	NA
4273	LOC105437259	5.87E-12	0.63920427	0.614	0.505	1.28E-07	transcriptional adapter 2-beta	spu:105437259
7952	LOC105446793	7.83E-10	0.636679049	0.576	0.49	1.71E-05	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4-like	spu:105446793
20658	LOC581865	3.52E-08	0.635881875	0.297	0.168	0.000767781	probable ribosome biogenesis protein RLP24	spu:581865
22756	LOC586618	2.69E-08	0.635010262	0.373	0.241	0.000587609	WW domain-binding protein 11	spu:586618
24947	LOC591809	4.13E-23	0.63397784	0.899	0.821	9.02E-19	60S ribosomal protein L35	spu:591809
17442	LOC575905	4.01E-21	0.630048772	0.804	0.676	8.76E-17	ubiquitin-conjugating enzyme E2-17 kDa	spu:575905
25056	LOC592046	9.65E-24	0.629478295	0.892	0.834	2.11E-19	terminal nucleotidyltransferase 4B	spu:592046
3174	LOC100892953	5.24E-09	0.628360386	0.291	0.155	0.000114332	crooked neck-like protein 1	spu:100892953
16770	LOC574675	4.22E-11	0.626013545	0.582	0.456	9.21E-07	LOW QUALITY PROTEIN: FAS-associated factor 2	spu:574675
24505	LOC590813	2.32E-08	0.6254093	0.411	0.286	0.000507048	cytoplasmic dynein 1 light intermediate chain 2 isoform X2	spu:590813
20961	LOC582434	1.07E-07	0.624558706	0.297	0.175	0.002344592	signal recognition particle subunit SRP68	spu:582434
24276	LOC590272	1.57E-07	0.62071652	0.437	0.333	0.003416533	protein AF-10 isoform X2	spu:590272
3395	LOC100893310	1.21E-08	0.618990394	0.266	0.134	0.000263364	NA	NA
24440	LOC590665	2.48E-06	0.618983487	0.462	0.392	0.054016632	NA	NA
17140	LOC575347	1.49E-51	0.61890422	1	0.968	3.25E-47	cytochrome c	spu:575347
23828	LOC589247	1.59E-14	0.618229067	0.766	0.68	3.48E-10	AT-rich interactive domain-containing protein 4A	spu:589247
