	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID
20818	LOC582130	6.45E-25	0.916748637	0.93	0.644	1.41E-20	eukaryotic translation initiation factor 3 subunit C	spu:582130
21143	LOC582823	1.71E-14	0.915206801	0.563	0.265	3.73E-10	60S ribosomal protein L10	spu:582823
4367	LOC105437488	3.40E-20	0.90486662	0.62	0.255	7.42E-16	uncharacterized protein LOC105437488	spu:105437488
20133	LOC580822	1.31E-24	0.900448917	0.859	0.498	2.86E-20	"spectrin alpha chain, non-erythrocytic 1 isoform X1"	spu:580822
3942	LOC105436394	7.08E-16	0.899370345	0.69	0.407	1.54E-11	40S ribosomal protein S18	spu:105436394
20966	LOC582414	2.29E-20	0.89769519	0.761	0.425	5.00E-16	serine/arginine repetitive matrix protein 2	spu:582414
24993	LOC591874	4.12E-22	0.89623584	0.901	0.768	8.98E-18	60S ribosomal protein L9	spu:591874
26646	LOC753380	2.12E-18	0.893037123	0.859	0.659	4.63E-14	selenoprotein S	spu:753380
8145	LOC105447310	4.24E-10	0.891077471	0.394	0.162	9.26E-06	uncharacterized protein LOC105447310	spu:105447310
22644	LOC586345	3.59E-27	0.872965309	1	0.91	7.84E-23	60S acidic ribosomal protein P2	spu:586345
21256	LOC583048	1.80E-22	0.872953628	0.887	0.654	3.92E-18	60S ribosomal protein L6	spu:583048
17858	LOC576654	6.67E-28	0.86866994	1	0.918	1.46E-23	40S ribosomal protein S26 isoform X1	spu:576654
28374	SLBP	8.55E-14	0.865909783	0.563	0.279	1.87E-09	NA	NA
5349	LOC105439885	2.28E-31	0.864212982	0.507	0.104	4.97E-27	zinc metalloproteinase nas-6	spu:105439885
28376	VAMP	1.03E-16	0.86041217	0.676	0.365	2.24E-12	NA	NA
18644	LOC578034	3.10E-27	0.859479425	0.958	0.873	6.76E-23	ribosomal protein L21-like	spu:578034
18726	LOC578192	3.09E-16	0.858975593	0.831	0.659	6.74E-12	60S ribosomal protein L4	spu:578192
21009	LOC582506	9.25E-22	0.854223417	0.521	0.161	2.02E-17	OTU domain-containing protein 5-B isoform X2	spu:582506
21921	LOC584560	2.75E-25	0.842367162	0.972	0.925	6.00E-21	60S ribosomal protein L37a	spu:584560
19773	LOC580113	1.95E-14	0.837629816	0.789	0.573	4.25E-10	50 kDa gamma-zein isoform X2	spu:580113
17920	LOC576760	3.72E-18	0.837151308	0.831	0.585	8.12E-14	60S ribosomal protein L32	spu:576760
2230	LOC100891325	3.08E-16	0.835542062	0.901	0.806	6.72E-12	transcription factor E2F8	spu:100891325
19900	LOC580365	1.25E-15	0.832966825	0.761	0.52	2.73E-11	mitochondrial-processing peptidase subunit beta	spu:580365
25200	LOC592324	8.53E-17	0.826939972	0.901	0.746	1.86E-12	uncharacterized protein LOC592324	spu:592324
7349	LOC105445187	7.52E-24	0.825806017	0.958	0.534	1.64E-19	NA	NA
16774	LOC574664	2.25E-14	0.825647613	0.704	0.441	4.92E-10	60S ribosomal protein L15	spu:574664
26313	LOC752296	2.43E-17	0.822715423	0.634	0.268	5.31E-13	protein sprouty homolog 3	spu:752296
4	COLP3alpha	6.54E-29	0.820444653	0.535	0.112	1.43E-24	NA	NA
21780	LOC584262	4.44E-12	0.810922321	0.493	0.225	9.69E-08	uncharacterized protein LOC584262 isoform X1	spu:584262
22832	LOC586769	1.46E-14	0.810650303	0.831	0.708	3.19E-10	60S ribosomal protein L17	spu:586769
18613	LOC577982	1.37E-22	0.806514815	0.958	0.843	3.00E-18	ubiquitin-like protein FUBI	spu:577982
24009	LOC589648	9.25E-17	0.803270662	0.465	0.158	2.02E-12	dual specificity protein phosphatase 6	spu:589648
18712	LOC578158	1.13E-19	0.799924219	0.958	0.77	2.46E-15	40S ribosomal protein S19	spu:578158
19317	LOC579300	2.88E-19	0.794890256	0.958	0.831	6.29E-15	NA	NA
21134	LOC582810	3.39E-16	0.78940939	0.521	0.204	7.39E-12	uncharacterized protein LOC582810 isoform X1	spu:582810
523	LOC100888549	1.60E-12	0.788443611	0.465	0.194	3.50E-08	protein cramped-like	spu:100888549
22446	LOC585872	1.52E-16	0.784817233	0.831	0.641	3.32E-12	60S ribosomal protein L26 isoform X1	spu:585872
27218	LOC755731	4.99E-19	0.782882268	0.887	0.722	1.09E-14	60S ribosomal protein L7	spu:755731
25293	LOC592537	1.63E-14	0.78224185	0.563	0.275	3.56E-10	macoilin	spu:592537
25356	LOC592668	5.30E-13	0.781600325	0.732	0.551	1.16E-08	40S ribosomal protein S5	spu:592668
20521	LOC581577	4.40E-11	0.781593976	0.577	0.351	9.60E-07	NA	NA
17491	LOC575965	8.79E-20	0.780504325	0.958	0.876	1.92E-15	cyclin-dependent kinase 1	spu:575965
28179	LOC764515	6.26E-15	0.777211811	0.761	0.549	1.37E-10	upstream activation factor subunit spp27	spu:764515
22548	LOC586110	9.66E-19	0.774686807	0.845	0.578	2.11E-14	40S ribosomal protein S9	spu:586110
18741	LOC578215	2.64E-11	0.773153728	0.761	0.65	5.77E-07	G kinase-anchoring protein 1	spu:578215
24794	LOC591477	9.25E-13	0.773028703	0.775	0.579	2.02E-08	protein PRRC2C isoform X1	spu:591477
24699	LOC591266	9.74E-16	0.770721926	0.817	0.642	2.13E-11	cystathionine beta-synthase	spu:591266
2821	LOC100892284	1.91E-22	0.770066884	0.493	0.137	4.16E-18	zinc finger CCCH domain-containing protein 4	spu:100892284
20332	LOC581196	3.11E-16	0.769454317	0.901	0.799	6.79E-12	40S ribosomal protein S13	spu:581196
25197	LOC592315	3.86E-14	0.769224096	0.493	0.201	8.41E-10	LOW QUALITY PROTEIN: 60S ribosomal protein L8	spu:592315
17947	LOC576803	8.53E-16	0.768604614	0.859	0.77	1.86E-11	60S ribosomal protein L22	spu:576803
23122	LOC587506	2.92E-16	0.768382559	0.606	0.282	6.38E-12	transducin-like enhancer protein 4 isoform X1	spu:587506
17080	LOC575208	8.31E-17	0.766774787	0.803	0.539	1.81E-12	death-inducer obliterator 1 isoform X1	spu:575208
19164	LOC579026	1.32E-21	0.762143021	0.958	0.908	2.89E-17	40S ribosomal protein S11	spu:579026
17303	LOC575632	5.93E-14	0.760632136	0.549	0.263	1.29E-09	ribosome biogenesis regulatory protein homolog	spu:575632
21820	LOC584359	6.84E-11	0.753473942	0.549	0.293	1.49E-06	chromatin assembly factor 1 subunit A isoform X3	spu:584359
17899	LOC576715	6.77E-13	0.753250049	0.859	0.617	1.48E-08	transcription factor Sp5	spu:576715
22618	LOC586281	1.46E-14	0.752732207	0.606	0.304	3.18E-10	uncharacterized protein LOC586281	spu:586281
21147	LOC582833	4.03E-11	0.752229128	0.648	0.432	8.79E-07	titin	spu:582833
19884	LOC580332	1.42E-15	0.750937581	0.746	0.456	3.11E-11	leucine-rich repeats and immunoglobulin-like domains protein 3	spu:580332
25493	LOC592965	3.84E-16	0.748381266	0.648	0.329	8.37E-12	60S ribosomal protein L44	spu:592965
20946	LOC582369	7.63E-15	0.747873216	0.831	0.664	1.67E-10	double-stranded RNA-binding protein Staufen homolog 2 isoform X1	spu:582369
18556	LOC577883	1.42E-21	0.744374964	0.423	0.093	3.10E-17	NA	NA
18616	LOC577989	8.84E-14	0.743329671	0.803	0.647	1.93E-09	40S ribosomal protein S6	spu:577989
19736	LOC580050	1.62E-13	0.741748161	0.648	0.365	3.53E-09	hormone receptor 4	spu:580050
19198	LOC579085	1.92E-15	0.741661807	0.789	0.565	4.19E-11	"ATP synthase subunit gamma, mitochondrial"	spu:579085
25807	LOC593744	1.99E-17	0.739349464	0.901	0.761	4.35E-13	40S ribosomal protein S3	spu:593744
22278	LOC585461	6.25E-35	0.738851788	1	1	1.36E-30	ubiquitin-conjugating enzyme E2 R2	spu:585461
19756	LOC580083	6.85E-20	0.737759282	1	0.947	1.49E-15	uncharacterized protein LOC580083 isoform X1	spu:580083
23503	LOC588463	6.88E-13	0.730796137	0.606	0.326	1.50E-08	metal regulatory transcription factor 1	spu:588463
24158	LOC589961	4.73E-22	0.728208705	0.972	0.841	1.03E-17	40S ribosomal protein S25	spu:589961
16693	LOC414053	2.74E-20	0.728153236	0.958	0.908	5.98E-16	guanine nucleotide-binding protein G(s) alpha subunit	spu:414053
28369	rab11	6.94E-15	0.725808139	0.817	0.631	1.51E-10	NA	NA
28371	rpl36	8.14E-12	0.72500066	0.69	0.476	1.78E-07	NA	NA
24051	LOC589728	6.44E-10	0.724668037	0.718	0.622	1.41E-05	LOW QUALITY PROTEIN: probable JmjC domain-containing histone demethylation protein 2C	spu:589728
22469	LOC585922	1.93E-10	0.72277405	0.465	0.217	4.22E-06	death domain-associated protein 6	spu:585922
25926	LOC594043	1.95E-15	0.722473144	0.887	0.803	4.26E-11	heterogeneous nuclear ribonucleoprotein H3 isoform X1	spu:594043
18602	LOC577957	2.03E-11	0.720819667	0.662	0.437	4.43E-07	sarcolemmal membrane-associated protein isoform X1	spu:577957
21453	LOC583495	0.000781507	0.714513665	0.437	0.334	1	40S ribosomal protein S4	spu:583495
19679	LOC579948	6.80E-15	0.711969632	0.887	0.784	1.48E-10	ubinuclein-2	spu:579948
22018	LOC584837	5.89E-12	0.710429036	0.634	0.39	1.28E-07	histone lysine demethylase PHF8 isoform X1	spu:584837
23183	LOC587667	1.45E-10	0.709334337	0.662	0.48	3.16E-06	protein max isoform X1	spu:587667
28377	wnt1	3.44E-24	0.697329887	0.366	0.068	7.51E-20	NA	NA
19168	LOC579031	7.59E-11	0.696296762	0.451	0.196	1.66E-06	probable ribonuclease ZC3H12C	spu:579031
18586	LOC577931	9.59E-21	0.696245	0.324	0.063	2.09E-16	uncharacterized protein LOC577931	spu:577931
16954	LOC574998	1.43E-19	0.69554945	0.958	0.811	3.13E-15	40S ribosomal protein S15	spu:574998
21770	LOC584232	5.00E-11	0.689073269	0.563	0.32	1.09E-06	structural maintenance of chromosomes protein 6 isoform X1	spu:584232
22457	LOC585895	7.15E-30	0.686373317	0.296	0.036	1.56E-25	paired mesoderm homeobox protein 2A	spu:585895
2338	LOC100891486	7.56E-14	0.686081182	0.746	0.47	1.65E-09	membrane magnesium transporter 1	spu:100891486
301	LOC100888193	3.62E-18	0.685136709	0.93	0.885	7.90E-14	uncharacterized protein LOC100888193	spu:100888193
23768	LOC589085	3.61E-10	0.685045267	0.718	0.564	7.88E-06	60S ribosomal protein L31	spu:589085
27302	LOC756235	8.92E-16	0.683191586	0.901	0.793	1.95E-11	NA	NA
19042	LOC578794	1.09E-14	0.682603044	0.901	0.835	2.37E-10	40S ribosomal protein S27-like isoform X1	spu:578794
19435	LOC579520	1.03E-22	0.682303558	0.31	0.05	2.25E-18	actin-binding LIM protein 1 isoform X1	spu:579520
24760	LOC591399	2.57E-09	0.681845	0.366	0.154	5.60E-05	NA	NA
27079	LOC755020	1.85E-10	0.676882615	0.69	0.465	4.05E-06	uncharacterized protein LOC755020 isoform X1	spu:755020
8107	LOC105447194	4.26E-29	0.675067656	1	0.991	9.29E-25	gamma-aminobutyric acid receptor-associated protein	spu:105447194
17506	LOC576005	9.34E-21	0.673716207	1	0.973	2.04E-16	voltage-dependent anion-selective channel protein 2	spu:576005
16477	LOC373183	2.98E-15	0.673315921	0.845	0.642	6.50E-11	40S ribosomal protein SA	spu:373183
27159	LOC755431	2.24E-12	0.671147617	0.577	0.31	4.88E-08	microtubule-associated protein futsch	spu:755431
22706	LOC586477	1.31E-17	0.667933985	0.944	0.782	2.86E-13	60S ribosomal protein L3	spu:586477
18569	LOC577901	1.72E-12	0.667418497	0.676	0.439	3.75E-08	formin-binding protein 4	spu:577901
165	LOC100887949	3.55E-12	0.666679494	0.521	0.244	7.74E-08	uncharacterized protein LOC100887949 isoform X1	spu:100887949
16885	LOC574860	2.17E-19	0.6664293	0.634	0.194	4.73E-15	serine/threonine-protein kinase B-raf	spu:574860
19410	LOC579470	6.90E-12	0.6646984	0.746	0.63	1.51E-07	lysine-specific demethylase 4A isoform X1	spu:579470
19792	LOC580148	4.03E-19	0.663398966	1	0.832	8.80E-15	60S ribosomal protein L27a	spu:580148
446	LOC100888437	4.32E-16	0.663074302	0.423	0.128	9.42E-12	uncharacterized protein LOC100888437	spu:100888437
3222	LOC100893012	1.31E-08	0.661581415	0.606	0.441	0.000286905	zinc finger protein 816	spu:100893012
21257	LOC583049	1.46E-29	0.660717398	0.423	0.066	3.18E-25	extracellular serine/threonine protein kinase FAM20C	spu:583049
801	LOC100889016	9.37E-11	0.659450018	0.69	0.515	2.05E-06	protein PRRC2C	spu:100889016
19564	LOC579744	1.51E-21	0.654444315	1	0.974	3.30E-17	LOW QUALITY PROTEIN: histone H1.1	spu:579744
17	LOC100048987	9.14E-14	0.648728179	0.507	0.193	1.99E-09	dickkopf-1 precursor	spu:100048987
24730	LOC591328	1.50E-07	0.646456015	0.662	0.556	0.003282496	"ATP synthase subunit d, mitochondrial"	spu:591328
17638	LOC576229	4.15E-11	0.644325026	0.366	0.134	9.06E-07	coiled-coil domain-containing protein 171 isoform X1	spu:576229
17706	LOC576368	2.69E-12	0.644210241	0.873	0.821	5.88E-08	40S ribosomal protein S2	spu:576368
27949	LOC763682	4.92E-07	0.642411651	0.592	0.454	0.010747784	ankyrin repeat domain-containing protein 17 isoform X1	spu:763682
5	COLP4alpha.1	3.04E-18	0.641892329	0.338	0.071	6.63E-14	NA	NA
24490	LOC590740	8.64E-18	0.641579538	0.972	0.879	1.89E-13	40S ribosomal protein S12	spu:590740
1440	LOC100890040	8.96E-23	0.63884744	1	0.953	1.96E-18	lysosomal-associated transmembrane protein 4A	spu:100890040
19646	LOC579897	1.45E-08	0.638567353	0.662	0.514	0.000316484	60S ribosomal protein L35a	spu:579897
22777	LOC586642	3.70E-14	0.637447532	0.775	0.527	8.07E-10	next to BRCA1 gene 1 protein	spu:586642
23435	LOC588274	3.32E-08	0.635748134	0.746	0.681	0.000723679	eukaryotic translation initiation factor 4 gamma 3 isoform X1	spu:588274
19036	LOC578784	1.09E-21	0.634838924	0.986	0.969	2.38E-17	uncharacterized protein LOC578784 isoform X1	spu:578784
19159	LOC579019	6.12E-08	0.634460388	0.549	0.354	0.001334555	ubiquitin-40S ribosomal protein S27a	spu:579019
7540	LOC105445697	2.47E-13	0.633058714	0.38	0.126	5.40E-09	NA	NA
16516	LOC373243	2.31E-17	0.628370713	0.831	0.36	5.03E-13	zinc finger protein similar to Kruppel	spu:373243
6358	LOC105442519	2.17E-09	0.625327898	0.592	0.377	4.74E-05	NA	NA
16801	LOC574702	1.59E-09	0.621346807	0.775	0.703	3.47E-05	CCR4-NOT transcription complex subunit 4 isoform X1	spu:574702
21506	LOC583611	5.55E-14	0.620528655	0.338	0.095	1.21E-09	arylsulfatase A isoform X2	spu:583611
17007	LOC575088	2.15E-11	0.613981251	0.451	0.195	4.68E-07	CTP synthase 1	spu:575088
24653	LOC591120	9.87E-08	0.612910457	0.662	0.577	0.002153172	ATPase WRNIP1	spu:591120
20468	LOC581481	6.08E-10	0.611219797	0.338	0.124	1.33E-05	PC-esterase domain-containing protein 1A	spu:581481
18174	LOC577224	6.59E-16	0.610948916	0.93	0.913	1.44E-11	CREB-binding protein isoform X5	spu:577224
20325	LOC581183	1.76E-12	0.610434829	0.873	0.784	3.84E-08	tetratricopeptide repeat protein 25 isoform X1	spu:581183
22571	LOC586167	2.73E-08	0.610268522	0.577	0.391	0.000596458	nucleolar protein dao-5 isoform X1	spu:586167
22820	LOC586739	4.08E-09	0.605553607	0.775	0.687	8.91E-05	E3 ubiquitin-protein ligase UHRF1 isoform X1	spu:586739
27471	LOC757058	1.42E-11	0.604643294	0.873	0.849	3.11E-07	NA	NA
22319	LOC585553	1.87E-18	0.604393538	0.958	0.873	4.09E-14	RNA-binding protein with serine-rich domain 1	spu:585553
18993	LOC578691	9.65E-07	0.603744014	0.845	0.827	0.021056417	ras-responsive element-binding protein 1 isoform X2	spu:578691
19724	LOC580021	1.35E-08	0.603027111	0.775	0.639	0.000294843	uncharacterized protein LOC580021	spu:580021
23574	LOC588637	1.93E-19	0.601716933	0.352	0.075	4.22E-15	E3 ubiquitin-protein ligase MARCH11	spu:588637
22851	LOC586809	6.19E-12	0.601168503	0.775	0.608	1.35E-07	NA	NA
3360	LOC100893240	1.12E-08	0.594179333	0.493	0.274	0.000244761	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240
19633	LOC579871	6.64E-18	0.59244363	0.986	0.952	1.45E-13	DNA-binding protein HEXBP isoform X1	spu:579871
16610	LOC373418	1.80E-16	0.589954827	0.972	0.947	3.93E-12	ras-related protein ORAB-1 isoform X2	spu:373418
21093	LOC582717	2.88E-12	0.589870155	0.887	0.762	6.28E-08	INO80 complex subunit D	spu:582717
19427	LOC579500	2.90E-08	0.589533638	0.507	0.306	0.000633012	F-actin-capping protein subunit beta	spu:579500
16597	LOC373382	5.72E-10	0.588363531	0.746	0.625	1.25E-05	mitochondrial ATP synthase alpha subunit precursor	spu:373382
22591	LOC586214	5.54E-12	0.58817487	0.817	0.678	1.21E-07	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"	spu:586214
23858	LOC589287	2.76E-05	0.587987501	0.592	0.51	0.601499504	NA	NA
26334	LOC752350	3.40E-08	0.585990277	0.634	0.512	0.000742233	NA	NA
17965	LOC576833	2.46E-15	0.584368638	0.465	0.147	5.37E-11	LHFPL tetraspan subfamily member 2a protein	spu:576833
18952	LOC578600	2.59E-10	0.584318953	0.803	0.646	5.65E-06	serine/threonine-protein kinase WNK3	spu:578600
24638	LOC591088	1.23E-08	0.578163976	0.437	0.221	0.000267909	heat shock factor protein 1 isoform X1	spu:591088
17967	LOC576835	8.99E-37	0.576757842	1	1	1.96E-32	insulin-like growth factor 2 mRNA-binding protein 1 isoform X1	spu:576835
22426	LOC585814	4.40E-07	0.576141268	0.577	0.445	0.009596294	"centriole, cilia and spindle-associated protein isoform X2"	spu:585814
21661	LOC583959	2.08E-06	0.575759614	0.577	0.45	0.045438245	cryptochrome-2 isoform X1	spu:583959
24990	LOC591869	0.00023711	0.574037382	0.507	0.417	1	protein phosphatase 1 regulatory subunit 12A isoform X1	spu:591869
7571	LOC105445781	1.22E-90	0.570866582	0.268	0.009	2.66E-86	uncharacterized protein LOC105445781	spu:105445781
2878	LOC100892388	1.72E-06	0.569423756	0.563	0.411	0.037629374	uncharacterized protein LOC100892388 isoform X2	spu:100892388
16953	LOC574996	1.72E-06	0.568942748	0.408	0.242	0.037573371	UPF0472 protein C16orf72 homolog	spu:574996
19385	LOC579421	9.42E-13	0.568472331	0.549	0.236	2.05E-08	multidrug resistance-associated protein 4 isoform X1	spu:579421
3613	LOC100893636	8.18E-11	0.567659683	0.873	0.8	1.78E-06	NA	NA
28367	Nfe2	9.52E-05	0.566860146	0.493	0.376	1	NA	NA
24590	LOC590968	4.26E-10	0.566852597	0.775	0.671	9.30E-06	ubiquitin-conjugating enzyme E2 N	spu:590968
2258	LOC100891364	2.38E-08	0.566808596	0.38	0.169	0.000518991	uncharacterized protein LOC100891364 isoform X1	spu:100891364
17369	LOC575742	7.29E-07	0.566491364	0.423	0.24	0.015911313	E3 ubiquitin-protein ligase HUWE1	spu:575742
16985	LOC575056	9.97E-05	0.56317481	0.31	0.171	1	40S ribosomal protein S3a	spu:575056
20093	LOC580739	6.28E-12	0.561699408	0.93	0.907	1.37E-07	RNA-binding protein cabeza isoform X1	spu:580739
18963	LOC578627	6.57E-18	0.56028408	0.972	0.953	1.43E-13	ras-related protein Rab-5B	spu:578627
27832	LOC763319	1.40E-07	0.559746033	0.648	0.489	0.003055447	"A-kinase anchor protein 1, mitochondrial"	spu:763319
26570	LOC753090	7.67E-07	0.557971366	0.479	0.299	0.016740236	ras-related protein Rap-2c	spu:753090
18536	LOC577852	2.25E-22	0.556478326	1	0.98	4.90E-18	60S ribosomal protein L30 isoform X2	spu:577852
18774	LOC578275	1.23E-08	0.5531546	0.704	0.62	0.000268042	DNA topoisomerase 2-alpha	spu:578275
25717	LOC593520	8.80E-17	0.55171775	0.803	0.318	1.92E-12	transcription factor SOX-4	spu:593520
16834	LOC574771	8.66E-10	0.551029406	0.845	0.757	1.89E-05	DNA replication licensing factor mcm7-A	spu:574771
21732	LOC584138	1.10E-06	0.548908794	0.394	0.194	0.024027275	transcription factor Sp5	spu:584138
20369	LOC581274	1.13E-07	0.548551169	0.775	0.706	0.002463732	"cytochrome c oxidase subunit 5B, mitochondrial"	spu:581274
17939	LOC576795	6.48E-08	0.548360471	0.493	0.27	0.001414742	Krueppel-like factor 13	spu:576795
24919	LOC591744	2.91E-07	0.548356875	0.634	0.509	0.006355833	PR domain zinc finger protein 10 isoform X1	spu:591744
6457	LOC105442790	1.14E-07	0.5474081	0.366	0.17	0.002496413	NA	NA
16709	LOC548622	3.28E-12	0.547355644	0.93	0.933	7.15E-08	ATP synthase beta subunit	spu:548622
19783	LOC580133	6.46E-10	0.547326073	0.282	0.089	1.41E-05	uncharacterized protein LOC580133	spu:580133
17079	LOC575207	1.29E-09	0.545450955	0.803	0.657	2.81E-05	C-terminal-binding protein 1 isoform X1	spu:575207
20773	LOC582050	5.00E-09	0.545449216	0.549	0.346	0.000109029	cleavage and polyadenylation specificity factor subunit 2	spu:582050
2448	LOC100891660	1.07E-09	0.545275016	0.549	0.246	2.34E-05	NA	NA
16967	LOC575018	2.02E-17	0.542954391	1	0.986	4.41E-13	14-3-3-like protein 2	spu:575018
19251	LOC579174	2.33E-08	0.540209004	0.563	0.372	0.000508965	CAAX prenyl protease 1 homolog	spu:579174
23981	LOC589574	1.95E-08	0.538760608	0.803	0.733	0.000425683	U2 snRNP-associated SURP motif-containing protein	spu:589574
25663	LOC593379	5.38E-08	0.538639442	0.366	0.169	0.001174894	replication factor C subunit 1 isoform X1	spu:593379
18518	LOC577819	5.19E-06	0.536956341	0.31	0.152	0.113365366	protein DENND6A isoform X1	spu:577819
