	Row.names	T8_LG_p_val	T8_LG_avg_logFC	T8_LG_pct.1	T8_LG_pct.2	T8_LG_p_val_adj	keggList..spu..	ID
24587	LOC590932	5.56E-12	1.344102587	0.826	0.335	1.21E-07	NA	NA
21641	LOC583874	4.53E-08	1.341709173	0.652	0.242	0.000988666	importin subunit alpha-1 isoform X1	spu:583874
28111	LOC764213	2.82E-14	1.336199466	0.826	0.294	6.15E-10	tyrosine-protein phosphatase non-receptor type 9	spu:764213
17574	LOC576113	1.49E-38	1.326645602	0.739	0.072	3.25E-34	ankyrin repeat and LEM domain-containing protein 1	spu:576113
24768	LOC591382	1.95E-11	1.302397474	0.652	0.191	4.25E-07	PIN2/TERF1-interacting telomerase inhibitor 1	spu:591382
27815	LOC763214	3.52E-14	1.298726389	0.87	0.308	7.68E-10	NA	NA
18857	LOC578409	2.43E-17	1.290115326	0.696	0.144	5.30E-13	uncharacterized protein LOC578409	spu:578409
20492	LOC581507	8.66E-13	1.283224744	0.609	0.148	1.89E-08	structural maintenance of chromosomes protein 5 isoform X1	spu:581507
23536	LOC588503	2.73E-16	1.279568175	1	0.988	5.97E-12	heterogeneous nuclear ribonucleoprotein R isoform X1	spu:588503
19643	LOC579871	2.27E-13	1.273993157	1	0.561	4.96E-09	DNA-binding protein HEXBP isoform X1	spu:579871
18550	LOC577855	4.02E-15	1.268979477	0.913	0.33	8.78E-11	guanine nucleotide-binding protein-like NSN1	spu:577855
22890	LOC586862	3.38E-10	1.261183183	0.696	0.251	7.38E-06	46 kDa FK506-binding nuclear protein isoform X1	spu:586862
26499	LOC752810	2.65E-12	1.253040997	0.565	0.13	5.77E-08	uncharacterized protein LOC752810 isoform X1	spu:752810
28396	vasa	8.76E-14	1.251578871	0.609	0.135	1.91E-09	NA	NA
17518	LOC576005	8.53E-13	1.24298266	1	0.764	1.86E-08	voltage-dependent anion-selective channel protein 2	spu:576005
19689	LOC579948	1.89E-14	1.2355086	0.957	0.401	4.11E-10	ubinuclein-2	spu:579948
24717	LOC591266	4.01E-10	1.234680822	0.87	0.442	8.74E-06	cystathionine beta-synthase	spu:591266
25087	LOC592046	3.08E-14	1.234154085	1	0.796	6.72E-10	terminal nucleotidyltransferase 4B	spu:592046
26824	LOC753921	2.55E-14	1.231916539	0.957	0.419	5.56E-10	protein FAM50A isoform X1	spu:753921
23343	LOC587995	5.84E-14	1.23161448	0.826	0.259	1.27E-09	roundabout homolog 1 isoform X1	spu:587995
21540	LOC583658	1.85E-14	1.229899139	0.696	0.174	4.04E-10	zinc finger protein ubi-d4 isoform X2	spu:583658
25202	LOC592290	1.38E-11	1.227719866	0.783	0.284	3.00E-07	serine/arginine repetitive matrix protein 1 isoform X1	spu:592290
19482	LOC579592	6.44E-07	1.18899004	0.609	0.268	0.014052372	centrosomal protein of 164 kDa isoform X1	spu:579592
25140	LOC592172	8.60E-08	1.170178368	0.87	0.641	0.001877455	centromere protein F	spu:592172
19500	LOC579629	1.87E-12	1.167093881	0.826	0.265	4.09E-08	NA	NA
23561	LOC588549	1.55E-10	1.158638092	0.783	0.297	3.38E-06	serine/arginine repetitive matrix protein 2	spu:588549
3681	LOC100893744	4.68E-48	1.151522599	0.348	0.012	1.02E-43	NA	NA
21161	LOC582833	1.44E-10	1.147525803	0.826	0.369	3.15E-06	titin	spu:582833
17954	LOC576796	2.10E-08	1.145152316	0.826	0.453	0.000458888	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796
24347	LOC590359	1.10E-09	1.143349015	0.739	0.316	2.40E-05	SNW domain-containing protein 1	spu:590359
19213	LOC579091	5.70E-05	1.137909764	0.435	0.179	1	kinesin-like protein KIF20B isoform X1	spu:579091
20140	LOC580818	2.21E-11	1.129001514	0.913	0.445	4.83E-07	AT-rich interactive domain-containing protein 1A isoform X1	spu:580818
20555	LOC581625	5.67E-13	1.124294807	0.696	0.188	1.24E-08	helicase-like transcription factor isoform X1	spu:581625
24549	LOC590836	3.00E-79	1.119229221	0.435	0.011	6.54E-75	probable GPI-anchored adhesin-like protein PGA55	spu:590836
16629	LOC373434	1.32E-25	1.115055003	0.565	0.062	2.89E-21	seawi	spu:373434
25317	LOC592550	7.18E-11	1.107882856	0.913	0.463	1.57E-06	WD repeat-containing protein 43	spu:592550
2882	LOC100892388	3.00E-16	1.102730987	0.826	0.229	6.54E-12	uncharacterized protein LOC100892388 isoform X2	spu:100892388
23822	LOC589170	7.15E-08	1.100280057	0.87	0.561	0.001560994	inhibitor of growth protein 4 isoform X1	spu:589170
21208	LOC582923	3.60E-06	1.090644839	0.609	0.296	0.078660687	serine/threonine-protein kinase tricorner	spu:582923
24376	LOC590442	1.35E-08	1.087112341	0.783	0.373	0.000294161	protein LSM12 homolog B isoform X2	spu:590442
101	LOC100887863	2.54E-34	1.085657418	0.565	0.046	5.55E-30	tudor domain-containing protein 1 isoform X2	spu:100887863
28155	LOC764366	1.85E-12	1.082502837	0.783	0.261	4.04E-08	NA	NA
25990	LOC594186	3.87E-13	1.08009673	1	0.788	8.45E-09	small ubiquitin-related modifier 3	spu:594186
17315	LOC575632	2.72E-12	1.077296567	0.826	0.294	5.93E-08	ribosome biogenesis regulatory protein homolog	spu:575632
25662	LOC593337	5.47E-39	1.062612622	0.391	0.019	1.19E-34	NA	NA
19211	LOC579087	9.44E-20	1.06106514	0.522	0.067	2.06E-15	teneurin-3 isoform X1	spu:579087
21344	LOC583206	8.84E-28	1.056574264	0.435	0.033	1.93E-23	protein turtle homolog A	spu:583206
1930	LOC100890824	8.29E-12	1.051937028	0.609	0.146	1.81E-07	RNA binding protein fox-1 homolog 3 isoform X1	spu:100890824
17818	LOC576544	5.28E-11	1.051748858	0.826	0.308	1.15E-06	protein ECT2	spu:576544
20954	LOC582362	6.32E-12	1.04991624	0.565	0.132	1.38E-07	enhancer of mRNA-decapping protein 3	spu:582362
28214	LOC764563	1.14E-08	1.049912252	0.87	0.454	0.000249284	LOW QUALITY PROTEIN: cyclin-dependent kinase 11B	spu:764563
18680	LOC578079	5.66E-09	1.049728979	0.913	0.667	0.000123442	uncharacterized protein LOC578079 isoform X1	spu:578079
22026	LOC584816	1.20E-07	1.047927133	0.609	0.231	0.002621297	rho guanine nucleotide exchange factor 3 isoform X1	spu:584816
22575	LOC586140	2.94E-12	1.039880804	0.739	0.231	6.42E-08	protein Red	spu:586140
23201	LOC587667	4.13E-07	1.038272979	0.565	0.217	0.009016316	protein max isoform X1	spu:587667
23860	LOC589247	2.95E-07	1.036709311	0.913	0.643	0.006434966	AT-rich interactive domain-containing protein 4A	spu:589247
1849	LOC100890687	0.001496812	1.034417593	0.609	0.402	1	late histone H2A.2.2-like	spu:100890687
19574	LOC579744	2.68E-100	1.03398978	0.391	0.007	5.85E-96	LOW QUALITY PROTEIN: histone H1.1	spu:579744
18555	LOC577863	6.79E-09	1.027672647	0.565	0.175	0.000148158	dnaJ homolog subfamily C member 21 isoform X1	spu:577863
4290	LOC105437259	2.28E-08	1.02732549	0.826	0.462	0.000497056	transcriptional adapter 2-beta	spu:105437259
23841	LOC589199	9.78E-06	1.025101735	0.696	0.434	0.213403624	centromere protein C	spu:589199
22757	LOC586560	1.09E-10	1.025009334	1	0.538	2.39E-06	uncharacterized protein LOC586560	spu:586560
848	LOC100889086	1.79E-11	1.021303712	0.565	0.132	3.91E-07	nucleolar protein 12	spu:100889086
23522	LOC588463	1.28E-08	1.020796857	0.696	0.285	0.000279634	metal regulatory transcription factor 1	spu:588463
20959	LOC582369	2.29E-09	1.015822817	0.696	0.256	4.99E-05	double-stranded RNA-binding protein Staufen homolog 2 isoform X1	spu:582369
27048	LOC754745	1.62E-13	1.014424027	0.391	0.055	3.53E-09	probable ATP-dependent RNA helicase DDX43	spu:754745
2695	LOC100892059	1.67E-12	1.012958436	0.522	0.105	3.64E-08	transcription factor 20	spu:100892059
25850	LOC593807	1.34E-10	1.009746958	0.957	0.505	2.92E-06	targeting protein for Xklp2 homolog isoform X1	spu:593807
17981	LOC576835	5.02E-15	1.00171384	1	0.997	1.10E-10	insulin-like growth factor 2 mRNA-binding protein 1 isoform X1	spu:576835
18942	LOC578567	4.62E-09	1.001009542	0.957	0.561	0.000100792	transcriptional regulator ATRX homolog isoform X1	spu:578567
18539	LOC577835	7.66E-11	0.99859488	0.609	0.165	1.67E-06	AT-rich interactive domain-containing protein 5B	spu:577835
20316	LOC581153	2.98E-08	0.998495063	0.826	0.408	0.000650758	tropomodulin-2	spu:581153
18356	LOC577510	4.05E-06	0.993204517	0.696	0.396	0.088297472	centrosome-associated protein 350 isoform X1	spu:577510
23854	LOC589233	3.57E-07	0.991346068	0.652	0.292	0.007782611	vasculin	spu:589233
22665	LOC586368	6.73E-11	0.99130415	0.565	0.144	1.47E-06	protein MEMO1	spu:586368
17754	LOC576431	5.09E-09	0.986030394	0.739	0.308	0.000111171	double-stranded RNA-specific editase 1	spu:576431
20532	LOC581577	1.09E-06	0.984491975	0.609	0.255	0.023771906	NA	NA
20807	LOC582089	7.26E-10	0.982825465	0.478	0.11	1.58E-05	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3	spu:582089
26980	LOC754442	1.24E-13	0.981559126	0.565	0.114	2.71E-09	parafibromin	spu:754442
17473	LOC575917	1.73E-13	0.980654112	0.478	0.081	3.77E-09	G patch domain-containing protein 3	spu:575917
18973	LOC578627	1.04E-09	0.979542912	0.913	0.764	2.26E-05	ras-related protein Rab-5B	spu:578627
699	LOC100888845	2.57E-08	0.975011686	0.826	0.492	0.000561156	ras association domain-containing protein 1 isoform X1	spu:100888845
20118	LOC580770	1.69E-07	0.971264337	0.565	0.203	0.003694249	protein regulator of cytokinesis 1 isoform X1	spu:580770
17381	LOC575742	1.01E-06	0.970799222	0.696	0.338	0.022094311	E3 ubiquitin-protein ligase HUWE1	spu:575742
1185	LOC100889604	4.32E-08	0.969983316	0.435	0.111	0.000941867	zinc finger protein 652-B isoform X1	spu:100889604
24537	LOC590813	1.18E-06	0.969859648	0.652	0.333	0.02576387	cytoplasmic dynein 1 light intermediate chain 2 isoform X2	spu:590813
1427	LOC100890018	2.91E-55	0.965815913	0.478	0.02	6.34E-51	uncharacterized protein LOC100890018 isoform X1	spu:100890018
434	LOC100888414	1.17E-10	0.962854642	0.348	0.055	2.55E-06	uncharacterized protein C8orf48 homolog isoform X1	spu:100888414
22277	LOC585431	1.50E-07	0.962292899	0.435	0.121	0.003269771	nitric oxide synthase-interacting protein	spu:585431
25601	LOC593162	3.58E-09	0.96080062	0.783	0.318	7.81E-05	nucleolin isoform X1	spu:593162
18259	LOC577351	2.02E-13	0.956626853	0.696	0.18	4.42E-09	pre-mRNA-splicing factor CWC25 homolog	spu:577351
26005	LOC594218	1.19E-06	0.951788933	0.435	0.134	0.026052193	nuclear speckle splicing regulatory protein 1	spu:594218
7734	LOC105446195	8.58E-08	0.944537621	0.739	0.334	0.001872716	pre-mRNA-splicing factor CWC22 homolog	spu:105446195
19910	LOC580365	3.78E-08	0.940724203	0.87	0.565	0.000825114	mitochondrial-processing peptidase subunit beta	spu:580365
24831	LOC591524	6.02E-06	0.940668093	0.565	0.247	0.131452579	LOW QUALITY PROTEIN: CCR4-NOT transcription complex subunit 1	spu:591524
17591	LOC576136	1.42E-07	0.939862564	0.739	0.352	0.003103723	SWI/SNF complex subunit SMARCC2 isoform X1	spu:576136
27179	LOC755431	3.62E-08	0.938674892	0.696	0.29	0.000790027	microtubule-associated protein futsch	spu:755431
22115	LOC585046	2.90E-08	0.936610073	0.565	0.185	0.000632733	protein Jumonji	spu:585046
7821	LOC105446422	1.01E-12	0.936408485	0.565	0.122	2.21E-08	DNA-directed RNA polymerase I subunit RPA43	spu:105446422
17768	LOC576451	3.07E-11	0.934943189	0.348	0.052	6.70E-07	fas-binding factor 1 homolog	spu:576451
3024	LOC100892660	6.28E-14	0.931814546	0.522	0.093	1.37E-09	NA	NA
24656	LOC591088	6.54E-08	0.93082673	0.522	0.161	0.001427348	heat shock factor protein 1 isoform X1	spu:591088
22292	LOC585461	1.08E-09	0.926936069	0.957	0.916	2.35E-05	ubiquitin-conjugating enzyme E2 R2	spu:585461
25585	LOC593121	1.75E-21	0.926773953	0.348	0.027	3.81E-17	DNA oxidative demethylase ALKBH2	spu:593121
18498	LOC577772	1.04E-06	0.926492049	0.478	0.155	0.022672044	probable ATP-dependent RNA helicase DDX27	spu:577772
28390	Sp-Smad2/3	5.56E-09	0.923639605	0.565	0.17	0.000121351	NA	NA
20988	LOC582434	4.01E-09	0.922328447	0.478	0.118	8.75E-05	signal recognition particle subunit SRP68	spu:582434
21369	LOC583272	2.29E-11	0.922134812	0.522	0.116	4.99E-07	microfibrillar-associated protein 1	spu:583272
9	HDAC1	4.73E-09	0.922085106	0.826	0.381	0.000103253	NA	NA
26924	LOC754248	1.97E-05	0.921315429	0.696	0.381	0.429457408	NA	NA
17293	LOC575596	3.74E-07	0.915028986	0.957	0.734	0.008168924	programmed cell death protein 4	spu:575596
20979	LOC582414	4.73E-06	0.913950594	0.478	0.175	0.103281169	serine/arginine repetitive matrix protein 2	spu:582414
5519	LOC105440291	1.34E-07	0.912969403	0.652	0.27	0.002930368	NA	NA
26690	LOC753487	5.17E-09	0.909832833	0.957	0.637	0.000112911	ubiquitin-conjugating enzyme E2 2 isoform X2	spu:753487
18681	LOC578080	4.10E-08	0.909059015	0.522	0.161	0.000895146	rac GTPase-activating protein 1 isoform X1	spu:578080
2620	LOC100891935	2.83E-07	0.905114724	0.739	0.383	0.00618297	"histone-lysine N-methyltransferase, H3 lysine-79 specific isoform X1"	spu:100891935
7676	LOC105446077	2.79E-05	0.901121376	0.609	0.3	0.609609171	SH2 domain-containing adapter protein F-like	spu:105446077
17523	LOC576016	9.68E-07	0.900830228	0.87	0.526	0.02112657	nucleolar protein 58	spu:576016
24158	LOC589923	1.43E-07	0.899261366	0.87	0.717	0.003118239	afadin isoform X1	spu:589923
19179	LOC579031	1.01E-08	0.896055308	0.652	0.226	0.000219716	probable ribonuclease ZC3H12C	spu:579031
21675	LOC583959	0.000702816	0.89385179	0.304	0.109	1	cryptochrome-2 isoform X1	spu:583959
762	LOC100888951	0.000933666	0.891832898	0.348	0.145	1	uncharacterized protein LOC100888951	spu:100888951
21055	LOC582590	2.55E-07	0.887662186	0.826	0.534	0.00557257	LOW QUALITY PROTEIN: PHD and RING finger domain-containing protein 1	spu:582590
26568	LOC753029	9.37E-10	0.887360087	0.522	0.133	2.04E-05	parafibromin	spu:753029
18243	LOC577326	1.76E-07	0.885227389	0.826	0.452	0.003851206	cleavage and polyadenylation specificity factor subunit 6 isoform X1	spu:577326
22721	LOC586477	1.03E-09	0.884813231	0.957	0.71	2.25E-05	60S ribosomal protein L3	spu:586477
20446	LOC581408	5.63E-09	0.884757104	0.435	0.097	0.000122857	peroxiredoxin	spu:581408
2760	LOC100892176	2.83E-06	0.87942456	0.435	0.137	0.061767113	NA	NA
19959	LOC580457	0.000180128	0.878164619	0.565	0.325	1	F-box only protein 11 isoform X1	spu:580457
20103	LOC580739	1.94E-09	0.875811279	1	0.757	4.24E-05	RNA-binding protein cabeza isoform X1	spu:580739
28392	SpP19L	1.07E-09	0.875701943	0.826	0.412	2.34E-05	NA	NA
16592	LOC373354	0.0039844	0.869887124	0.696	0.524	1	"histone H1-beta, late embryonic"	spu:373354
26652	LOC753336	5.44E-11	0.867795257	0.391	0.068	1.19E-06	SPRY domain-containing SOCS box protein 3	spu:753336
28201	LOC764523	6.67E-09	0.867073962	0.696	0.261	0.000145458	protein 4.1 isoform X1	spu:764523
16794	LOC574675	5.14E-06	0.864798647	0.609	0.271	0.112206664	LOW QUALITY PROTEIN: FAS-associated factor 2	spu:574675
26302	LOC752216	4.57E-05	0.862080866	0.348	0.107	0.997104138	poly [ADP-ribose] polymerase 1	spu:752216
859	LOC100889101	5.02E-09	0.861203912	0.391	0.08	0.000109453	heparan sulfate glucosamine 3-O-sulfotransferase 1	spu:100889101
18613	LOC577957	1.52E-06	0.859859414	0.522	0.193	0.033125131	sarcolemmal membrane-associated protein isoform X1	spu:577957
26083	LOC594475	6.25E-09	0.858481236	0.522	0.143	0.000136434	small RNA degrading nuclease 5 isoform X1	spu:594475
18514	LOC577801	1.89E-12	0.858255219	0.304	0.036	4.13E-08	hypoxia-inducible factor 1-alpha	spu:577801
24070	LOC589728	0.000227659	0.858160037	0.609	0.359	1	LOW QUALITY PROTEIN: probable JmjC domain-containing histone demethylation protein 2C	spu:589728
18475	LOC577721	3.44E-08	0.855540392	0.913	0.535	0.000750989	"stress-70 protein, mitochondrial"	spu:577721
26001	LOC594212	4.48E-62	0.85544262	0.348	0.009	9.77E-58	E3 ubiquitin-protein ligase MIB2 isoform X1	spu:594212
899	LOC100889161	7.99E-14	0.854960111	0.478	0.08	1.74E-09	NA	NA
17131	LOC575281	1.58E-08	0.854386434	0.913	0.5	0.000345046	double-strand-break repair protein rad21 homolog	spu:575281
2539	LOC100891813	1.76E-09	0.852433179	0.435	0.096	3.84E-05	germinal-center associated nuclear protein	spu:100891813
21194	LOC582892	0.003953685	0.852385606	0.391	0.2	1	abnormal spindle-like microcephaly-associated protein homolog	spu:582892
17961	LOC576803	1.34E-10	0.851644864	1	0.924	2.92E-06	60S ribosomal protein L22	spu:576803
20244	LOC581024	4.35E-05	0.850527681	0.348	0.111	0.950022664	colorectal mutant cancer protein isoform X1	spu:581024
1383	LOC100889942	3.51E-07	0.850109244	0.522	0.175	0.007649961	zinc finger protein 541 isoform X1	spu:100889942
24778	LOC591399	3.03E-07	0.849558258	0.478	0.146	0.006613575	NA	NA
18653	LOC578030	3.64E-08	0.849302634	0.565	0.182	0.000795119	transforming acidic coiled-coil-containing protein 3 isoform X1	spu:578030
27551	LOC757278	3.57E-08	0.846793948	0.435	0.109	0.000778525	uncharacterized protein LOC757278	spu:757278
21358	LOC583253	3.91E-09	0.844148086	0.478	0.119	8.52E-05	seali	spu:583253
16704	LOC414053	0.000312949	0.842787048	0.609	0.384	1	guanine nucleotide-binding protein G(s) alpha subunit	spu:414053
21784	LOC584232	5.02E-12	0.841019572	0.391	0.061	1.10E-07	structural maintenance of chromosomes protein 6 isoform X1	spu:584232
4794	LOC105438521	1.55E-06	0.840563128	0.435	0.132	0.033866237	pre-mRNA-splicing factor CWC22 homolog	spu:105438521
21156	LOC582822	7.51E-05	0.840135693	0.783	0.635	1	eukaryotic translation initiation factor 5	spu:582822
20685	LOC581865	1.06E-05	0.839873955	0.565	0.252	0.230825101	probable ribosome biogenesis protein RLP24	spu:581865
28391	SPARC	5.94E-07	0.838754411	0.826	0.651	0.012964109	NA	NA
2280	LOC100891405	3.67E-10	0.833768989	0.478	0.108	8.00E-06	uncharacterized protein LOC100891405	spu:100891405
22605	LOC586214	1.36E-06	0.832816942	0.739	0.379	0.029692294	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"	spu:586214
17092	LOC575208	1.42E-07	0.830915853	0.783	0.382	0.003108752	death-inducer obliterator 1 isoform X1	spu:575208
4320	LOC105437344	4.39E-10	0.829042569	0.348	0.058	9.57E-06	uncharacterized protein K02A2.6	spu:105437344
18884	LOC578463	3.11E-10	0.825961521	0.609	0.168	6.78E-06	symplekin	spu:578463
19176	LOC579027	5.72E-06	0.823481015	0.913	0.827	0.124819914	msx2-interacting protein isoform X1	spu:579027
16812	LOC574702	3.31E-08	0.822120617	0.783	0.378	0.000721993	CCR4-NOT transcription complex subunit 4 isoform X1	spu:574702
21219	LOC582941	1.10E-06	0.81894148	0.609	0.255	0.02400405	zinc finger protein 608 isoform X1	spu:582941
18513	LOC577797	1.66E-07	0.818382224	0.391	0.096	0.003629902	formin-like protein 2	spu:577797
24422	LOC590548	4.33E-19	0.817410451	0.435	0.047	9.44E-15	rRNA-processing protein UTP23 homolog	spu:590548
17109	LOC575241	1.94E-05	0.816950207	0.522	0.217	0.422380911	serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X1	spu:575241
20830	LOC582130	1.46E-06	0.815245094	0.826	0.548	0.031848726	eukaryotic translation initiation factor 3 subunit C	spu:582130
27349	LOC756374	1.70E-06	0.815089548	0.565	0.23	0.037032222	protein DEK	spu:756374
20498	LOC581517	1.64E-06	0.814403437	0.783	0.478	0.035811921	ataxin-2-like protein isoform X2	spu:581517
22853	LOC586775	0.00012721	0.812793971	0.391	0.15	1	"LOW QUALITY PROTEIN: RNA-binding motif protein, X-linked 2"	spu:586775
16608	LOC373382	1.06E-07	0.812313631	0.913	0.791	0.002309947	mitochondrial ATP synthase alpha subunit precursor	spu:373382
27964	LOC763676	3.09E-05	0.812087601	0.522	0.229	0.673995112	vacuolar protein sorting-associated protein 72 homolog	spu:763676
17364	LOC575713	3.29E-08	0.811971358	0.348	0.07	0.000718368	A-kinase anchor protein 17A	spu:575713
846	LOC100889084	5.96E-05	0.811220459	0.478	0.211	1	NA	NA
26530	LOC752896	5.39E-08	0.810677828	0.913	0.561	0.001176106	chromobox protein homolog 1	spu:752896
28395	VAMP	2.15E-07	0.808802792	0.87	0.613	0.004683523	NA	NA
22186	LOC585210	1.59E-07	0.808322537	0.304	0.059	0.003465066	"lon protease homolog 2, peroxisomal"	spu:585210
20765	LOC582001	0.000949035	0.807002382	0.609	0.405	1	DNA topoisomerase 2-alpha isoform X1	spu:582001
23423	LOC588193	2.79E-05	0.805345866	0.696	0.427	0.609594515	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	spu:588193
24133	LOC589864	2.58E-11	0.804557444	0.652	0.173	5.63E-07	coiled-coil domain-containing protein 137	spu:589864
7547	LOC105445697	5.48E-10	0.802854715	0.522	0.13	1.20E-05	NA	NA
16934	LOC574929	1.98E-05	0.801688799	0.783	0.54	0.432338167	uncharacterized protein LOC574929	spu:574929
25768	LOC593601	1.22E-06	0.801399464	0.522	0.184	0.026525634	"N-alpha-acetyltransferase 15, NatA auxiliary subunit"	spu:593601
17173	LOC575361	4.20E-06	0.801290316	0.739	0.396	0.09161427	homeobox protein cut-like 1	spu:575361
19251	LOC579153	2.94E-09	0.80111263	0.609	0.187	6.42E-05	syntaxin-5	spu:579153
17598	LOC576144	5.35E-09	0.801098895	0.478	0.119	0.000116655	importin subunit beta-1	spu:576144
19181	LOC579034	0.000528196	0.801094665	0.652	0.447	1	transcriptional activator protein Pur-beta isoform X1	spu:579034
22776	LOC586593	0.000599504	0.799941126	0.522	0.289	1	ubiquitin-conjugating enzyme E2-17 kDa	spu:586593
19436	LOC579500	9.15E-05	0.79855694	0.478	0.21	1	F-actin-capping protein subunit beta	spu:579500
254	LOC100888118	3.31E-90	0.797435708	0.304	0.005	7.22E-86	NA	NA
25456	LOC592853	0.000335228	0.795764549	0.609	0.353	1	neurogenic locus notch homolog protein 1	spu:592853
26663	LOC753380	5.50E-08	0.794218161	0.957	0.642	0.001199186	selenoprotein S	spu:753380
18793	LOC578296	5.01E-07	0.793424394	0.565	0.21	0.010933982	NF-kappa-B-activating protein	spu:578296
5001	LOC105439049	0.000100681	0.791421383	0.652	0.383	1	NA	NA
16825	LOC574737	1.97E-07	0.791053173	0.391	0.096	0.004298348	"3-methyl-2-oxobutanoate dehydrogenase [lipoamide] kinase, mitochondrial isoform X1"	spu:574737
22901	LOC586881	2.31E-05	0.790253585	0.783	0.496	0.504906357	flotillin-2a	spu:586881
18864	LOC578422	0.000767605	0.790149882	0.435	0.222	1	cactin	spu:578422
17165	LOC575347	5.87E-13	0.788411142	1	0.999	1.28E-08	cytochrome c	spu:575347
25846	LOC593800	3.94E-08	0.78571421	0.478	0.132	0.000859244	TP53-binding protein 1 isoform X1	spu:593800
19734	LOC580021	2.63E-05	0.785283609	0.783	0.536	0.574463009	uncharacterized protein LOC580021	spu:580021
17396	LOC575764	3.36E-07	0.783827359	0.435	0.119	0.007339808	ribosomal protein S6 kinase beta-1	spu:575764
24744	LOC591321	2.83E-06	0.78273316	0.826	0.686	0.061765142	putative ATP-dependent RNA helicase Pl10	spu:591321
21907	LOC584503	0.000348202	0.782628409	0.609	0.384	1	"spectrin beta chain, non-erythrocytic 1 isoform X1"	spu:584503
21341	LOC583203	5.84E-07	0.77918883	0.478	0.145	0.01273859	E3 ubiquitin-protein ligase RNF8 isoform X2	spu:583203
27850	LOC763319	7.61E-06	0.778769164	0.739	0.414	0.166145097	"A-kinase anchor protein 1, mitochondrial"	spu:763319
21214	LOC582932	7.17E-06	0.776261008	0.565	0.243	0.156532493	eukaryotic translation initiation factor 3 subunit C	spu:582932
21220	LOC582943	0.000135256	0.775480912	0.696	0.468	1	mothers against decapentaplegic homolog 5	spu:582943
21719	LOC584067	3.64E-06	0.773783005	0.391	0.114	0.079350346	AP-3 complex subunit beta-2	spu:584067
21206	LOC582919	1.54E-06	0.773259769	0.565	0.215	0.033532542	U3 small nucleolar RNA-interacting protein 2 isoform X1	spu:582919
3524	LOC100893485	6.20E-07	0.77130827	0.478	0.147	0.013530613	serine/arginine repetitive matrix protein 1	spu:100893485
20785	LOC582050	1.89E-06	0.769949992	0.522	0.193	0.041344376	cleavage and polyadenylation specificity factor subunit 2	spu:582050
19766	LOC580083	1.81E-05	0.768520361	0.913	0.752	0.394483611	uncharacterized protein LOC580083 isoform X1	spu:580083
709	LOC100888865	5.33E-12	0.7683175	0.522	0.106	1.16E-07	E3 ubiquitin-protein ligase rnf168 isoform X1	spu:100888865
23549	LOC588527	1.11E-05	0.767761427	0.478	0.181	0.242916752	"KH domain-containing, RNA-binding, signal transduction-associated protein 2 isoform X1"	spu:588527
16720	LOC548622	1.35E-07	0.765085033	1	0.866	0.002936229	ATP synthase beta subunit	spu:548622
25991	LOC594187	3.37E-05	0.759704729	0.696	0.399	0.735985782	translocating chain-associated membrane protein 1-like 1	spu:594187
