LOC109621113 lcl|NC_047559.1_prot_XP_034319074.1_1
LOC105321203 lcl|NC_047559.1_prot_XP_034313003.1_47
LOC105321203 lcl|NC_047559.1_prot_XP_034313006.1_48
LOC105321203 lcl|NC_047559.1_prot_XP_034313007.1_49
LOC105321203 lcl|NC_047559.1_prot_XP_034312980.1_50
LOC105321203 lcl|NC_047559.1_prot_XP_034312992.1_51
LOC105328747 lcl|NC_047559.1_prot_XP_011428055.2_52
LOC105328747 lcl|NC_047559.1_prot_XP_034313061.1_53
LOC105328747 lcl|NC_047559.1_prot_XP_034313055.1_54
LOC105328747 lcl|NC_047559.1_prot_XP_011428056.2_55
LOC105328747 lcl|NC_047559.1_prot_XP_011428057.2_56
LOC105328746 lcl|NC_047559.1_prot_XP_011428051.2_57
LOC105328746 lcl|NC_047559.1_prot_XP_011428052.2_58
LOC105328746 lcl|NC_047559.1_prot_XP_019922958.2_59
LOC105328744 lcl|NC_047559.1_prot_XP_011428047.2_60
LOC105328744 lcl|NC_047559.1_prot_XP_011428048.2_61
LOC105328744 lcl|NC_047559.1_prot_XP_011428049.2_62
LOC105328744 lcl|NC_047559.1_prot_XP_011428050.2_63
LOC105328743 lcl|NC_047559.1_prot_XP_034313121.1_64
LOC105328743 lcl|NC_047559.1_prot_XP_011428046.2_65
LOC105328742 lcl|NC_047559.1_prot_XP_011428043.2_66
LOC105328742 lcl|NC_047559.1_prot_XP_011428044.2_67
LOC105328742 lcl|NC_047559.1_prot_XP_011428045.2_68
LOC105328741 lcl|NC_047559.1_prot_XP_034313129.1_69
LOC105328741 lcl|NC_047559.1_prot_XP_011428039.2_70
LOC105328741 lcl|NC_047559.1_prot_XP_011428041.2_71
LOC105328741 lcl|NC_047559.1_prot_XP_034313132.1_72
LOC105328741 lcl|NC_047559.1_prot_XP_034313135.1_73
LOC109619976 lcl|NC_047559.1_prot_XP_034313143.1_74
LOC105337994 lcl|NC_047559.1_prot_XP_011441262.2_75
LOC105337994 lcl|NC_047559.1_prot_XP_011441261.2_76
LOC105337994 lcl|NC_047559.1_prot_XP_019926911.2_77
LOC105337994 lcl|NC_047559.1_prot_XP_019926912.2_78
LOC105337994 lcl|NC_047559.1_prot_XP_011441263.2_79
LOC105337994 lcl|NC_047559.1_prot_XP_019926913.2_80
LOC105338004 lcl|NC_047559.1_prot_XP_034313167.1_81
LOC117684582 lcl|NC_047559.1_prot_XP_034313188.1_82
LOC117684581 lcl|NC_047559.1_prot_XP_034313186.1_83
LOC117684581 lcl|NC_047559.1_prot_XP_034313179.1_84
LOC117684579 lcl|NC_047559.1_prot_XP_034313171.1_85
LOC117684584 lcl|NC_047559.1_prot_XP_034313207.1_86
LOC105333579 lcl|NC_047559.1_prot_XP_034313215.1_87
LOC105333579 lcl|NC_047559.1_prot_XP_011434929.2_88
LOC109620526 lcl|NC_047559.1_prot_XP_019928713.2_89
LOC117684587 lcl|NC_047559.1_prot_XP_034313223.1_90
LOC105342798 lcl|NC_047559.1_prot_XP_034313598.1_91
LOC105342798 lcl|NC_047559.1_prot_XP_034313593.1_92
LOC105320538 lcl|NC_047559.1_prot_XP_034313602.1_93
LOC105320528 lcl|NC_047559.1_prot_XP_011416786.1_94
LOC105320528 lcl|NC_047559.1_prot_XP_034313687.1_95
LOC105320528 lcl|NC_047559.1_prot_XP_034313696.1_96
LOC105320528 lcl|NC_047559.1_prot_XP_011416787.1_97
LOC105320528 lcl|NC_047559.1_prot_XP_011416790.1_98
LOC105320530 lcl|NC_047559.1_prot_XP_034313614.1_99
LOC105320530 lcl|NC_047559.1_prot_XP_034313625.1_100
LOC105320530 lcl|NC_047559.1_prot_XP_034313636.1_101
LOC105320530 lcl|NC_047559.1_prot_XP_034313647.1_102
LOC105320530 lcl|NC_047559.1_prot_XP_034313657.1_103
LOC105320530 lcl|NC_047559.1_prot_XP_034313661.1_104
LOC105320530 lcl|NC_047559.1_prot_XP_034313664.1_105
LOC105320526 lcl|NC_047559.1_prot_XP_034313701.1_106
LOC105328197 lcl|NC_047559.1_prot_XP_034313720.1_107
LOC105328197 lcl|NC_047559.1_prot_XP_034313729.1_108
LOC105328197 lcl|NC_047559.1_prot_XP_034313708.1_109
LOC105328197 lcl|NC_047559.1_prot_XP_034313711.1_110
LOC105328197 lcl|NC_047559.1_prot_XP_019922770.2_111
LOC105328197 lcl|NC_047559.1_prot_XP_034313737.1_112
LOC109618754 lcl|NC_047559.1_prot_XP_034313747.1_113
LOC109618754 lcl|NC_047559.1_prot_XP_034313745.1_114
LOC117684695 lcl|NC_047559.1_prot_XP_034313759.1_115
LOC117684695 lcl|NC_047559.1_prot_XP_034313764.1_116
LOC105318169 lcl|NC_047559.1_prot_XP_019918720.2_117
LOC105318169 lcl|NC_047559.1_prot_XP_034313785.1_118
LOC105318169 lcl|NC_047559.1_prot_XP_034313787.1_119
LOC105318169 lcl|NC_047559.1_prot_XP_034313788.1_120
LOC105318171 lcl|NC_047559.1_prot_XP_011413421.1_121
LOC105318173 lcl|NC_047559.1_prot_XP_034313801.1_122
LOC105318173 lcl|NC_047559.1_prot_XP_034313803.1_123
LOC105318172 lcl|NC_047559.1_prot_XP_011413422.2_124
LOC105318172 lcl|NC_047559.1_prot_XP_034313827.1_125
LOC105318172 lcl|NC_047559.1_prot_XP_034313833.1_126
LOC105318174 lcl|NC_047559.1_prot_XP_011413424.2_127
LOC105318175 lcl|NC_047559.1_prot_XP_011413425.2_128
LOC105318177 lcl|NC_047559.1_prot_XP_011413426.2_129
LOC117684712 lcl|NC_047559.1_prot_XP_034313871.1_130
LOC117684712 lcl|NC_047559.1_prot_XP_034313861.1_131
LOC117684712 lcl|NC_047559.1_prot_XP_034313859.1_132
LOC117680420 lcl|NC_047559.1_prot_XP_011413427.2_133
LOC105318178 lcl|NC_047559.1_prot_XP_034313910.1_134
LOC105318179 lcl|NC_047559.1_prot_XP_011413428.2_135
LOC117684720 lcl|NC_047559.1_prot_XP_034313900.1_136
LOC117684719 lcl|NC_047559.1_prot_XP_034313892.1_137
LOC117684715 lcl|NC_047559.1_prot_XP_034313878.1_138
LOC117684715 lcl|NC_047559.1_prot_XP_034313880.1_139
LOC117684715 lcl|NC_047559.1_prot_XP_034313885.1_140
LOC117684715 lcl|NC_047559.1_prot_XP_034313886.1_141
LOC117684721 lcl|NC_047559.1_prot_XP_034313926.1_142
LOC109619554 lcl|NC_047559.1_prot_XP_034313940.1_143
LOC109619554 lcl|NC_047559.1_prot_XP_034313953.1_144
LOC109619554 lcl|NC_047559.1_prot_XP_034313947.1_145
LOC109619554 lcl|NC_047559.1_prot_XP_034313960.1_146
LOC105329536 lcl|NC_047559.1_prot_XP_034313967.1_147
LOC105329535 lcl|NC_047559.1_prot_XP_011429119.2_148
LOC105329534 lcl|NC_047559.1_prot_XP_011429117.2_149
LOC105329534 lcl|NC_047559.1_prot_XP_011429118.2_150
LOC117684746 lcl|NC_047559.1_prot_XP_034313993.1_151
LOC105329532 lcl|NC_047559.1_prot_XP_011429116.1_152
LOC105329532 lcl|NC_047559.1_prot_XP_011429115.1_153
LOC105329532 lcl|NC_047559.1_prot_XP_034314005.1_154
LOC105329531 lcl|NC_047559.1_prot_XP_011429114.2_155
LOC105329531 lcl|NC_047559.1_prot_XP_011429113.2_156
LOC105329529 lcl|NC_047559.1_prot_XP_034314028.1_157
LOC105327371 lcl|NC_047559.1_prot_XP_034314036.1_158
LOC105327353 lcl|NC_047559.1_prot_XP_034314043.1_159
LOC105324352 lcl|NC_047559.1_prot_XP_011421715.2_160
LOC105327356 lcl|NC_047559.1_prot_XP_034336571.1_161
LOC105327356 lcl|NC_047559.1_prot_XP_011426083.2_162
LOC117680533 lcl|NC_047559.1_prot_XP_034336582.1_163
LOC117680533 lcl|NC_047559.1_prot_XP_034336580.1_164
LOC117680523 lcl|NC_047559.1_prot_XP_034336603.1_165
LOC117680523 lcl|NC_047559.1_prot_XP_034336609.1_166
LOC105327355 lcl|NC_047559.1_prot_XP_034336595.1_167
LOC105327355 lcl|NC_047559.1_prot_XP_019922394.2_168
LOC105327359 lcl|NC_047559.1_prot_XP_034336626.1_169
LOC105327359 lcl|NC_047559.1_prot_XP_011426085.2_170
LOC105327358 lcl|NC_047559.1_prot_XP_011426084.2_171
LOC105327358 lcl|NC_047559.1_prot_XP_019922397.2_172
LOC105327360 lcl|NC_047559.1_prot_XP_011426086.2_173
LOC105327361 lcl|NC_047559.1_prot_XP_011426087.2_174
LOC105327363 lcl|NC_047559.1_prot_XP_011426088.2_175
LOC105327363 lcl|NC_047559.1_prot_XP_034336643.1_176
LOC105327363 lcl|NC_047559.1_prot_XP_019922400.2_177
LOC105321409 lcl|NC_047559.1_prot_XP_034336671.1_178
LOC105321409 lcl|NC_047559.1_prot_XP_034336648.1_179
LOC105321409 lcl|NC_047559.1_prot_XP_034336659.1_180
LOC105321409 lcl|NC_047559.1_prot_XP_034336676.1_181
LOC105321409 lcl|NC_047559.1_prot_XP_034336666.1_182
LOC105321409 lcl|NC_047559.1_prot_XP_034336663.1_183
LOC105321409 lcl|NC_047559.1_prot_XP_034336653.1_184
LOC105321409 lcl|NC_047559.1_prot_XP_034336678.1_185
LOC117692559 lcl|NC_047559.1_prot_XP_034336724.1_186
LOC105345083 lcl|NC_047559.1_prot_XP_011451381.2_187
LOC105345083 lcl|NC_047559.1_prot_XP_034336684.1_188
LOC105345083 lcl|NC_047559.1_prot_XP_034336690.1_189
LOC105345083 lcl|NC_047559.1_prot_XP_034336705.1_190
LOC105345083 lcl|NC_047559.1_prot_XP_019929622.2_191
LOC105345083 lcl|NC_047559.1_prot_XP_034336716.1_192
LOC105345083 lcl|NC_047559.1_prot_XP_011451382.2_193
LOC105345083 lcl|NC_047559.1_prot_XP_011451383.2_194
LOC105345083 lcl|NC_047559.1_prot_XP_034336700.1_195
LOC105345083 lcl|NC_047559.1_prot_XP_019929621.2_196
LOC105345084 lcl|NC_047559.1_prot_XP_034303153.1_197
LOC105345084 lcl|NC_047559.1_prot_XP_034303156.1_198
LOC105345084 lcl|NC_047559.1_prot_XP_034303159.1_199
LOC105345084 lcl|NC_047559.1_prot_XP_011451384.2_200
LOC105345084 lcl|NC_047559.1_prot_XP_034303173.1_201
LOC105347024 lcl|NC_047559.1_prot_XP_034303176.1_202
LOC117681699 lcl|NC_047559.1_prot_XP_034303182.1_203
LOC105327365 lcl|NC_047559.1_prot_XP_034303195.1_204
LOC105319881 lcl|NC_047559.1_prot_XP_034303213.1_205
LOC105319881 lcl|NC_047559.1_prot_XP_034303226.1_206
LOC105319881 lcl|NC_047559.1_prot_XP_034303219.1_207
LOC105319881 lcl|NC_047559.1_prot_XP_034303215.1_208
LOC105319881 lcl|NC_047559.1_prot_XP_034303202.1_209
LOC105319881 lcl|NC_047559.1_prot_XP_034303208.1_210
LOC105319882 lcl|NC_047559.1_prot_XP_011415909.2_211
LOC105319883 lcl|NC_047559.1_prot_XP_011415910.2_212
LOC105319883 lcl|NC_047559.1_prot_XP_034303242.1_213
LOC105319884 lcl|NC_047559.1_prot_XP_011415911.2_214
LOC105319885 lcl|NC_047559.1_prot_XP_034303266.1_215
LOC117681709 lcl|NC_047559.1_prot_XP_034303255.1_216
LOC117681711 lcl|NC_047559.1_prot_XP_034303278.1_217
LOC117681711 lcl|NC_047559.1_prot_XP_034303294.1_218
LOC117681711 lcl|NC_047559.1_prot_XP_034303287.1_219
LOC117681711 lcl|NC_047559.1_prot_XP_034303304.1_220
LOC105319886 lcl|NC_047559.1_prot_XP_034328142.1_221
LOC105319886 lcl|NC_047559.1_prot_XP_034328195.1_222
LOC105319886 lcl|NC_047559.1_prot_XP_034328233.1_223
LOC105319886 lcl|NC_047559.1_prot_XP_034328259.1_224
LOC105319886 lcl|NC_047559.1_prot_XP_034328312.1_225
LOC105319886 lcl|NC_047559.1_prot_XP_034328359.1_226
LOC105319886 lcl|NC_047559.1_prot_XP_034328060.1_227
LOC105319886 lcl|NC_047559.1_prot_XP_034328518.1_228
LOC105319886 lcl|NC_047559.1_prot_XP_034328420.1_229
LOC105319886 lcl|NC_047559.1_prot_XP_034328473.1_230
LOC105342315 lcl|NC_047559.1_prot_XP_034326630.1_231
LOC109618002 lcl|NC_047559.1_prot_XP_019920747.1_232
LOC117687129 lcl|NC_047559.1_prot_XP_034319215.1_233
LOC105335912 lcl|NC_047559.1_prot_XP_034336385.1_234
LOC105336594 lcl|NC_047559.1_prot_XP_034337034.1_235
LOC105336594 lcl|NC_047559.1_prot_XP_034337496.1_236
LOC105336594 lcl|NC_047559.1_prot_XP_034337917.1_237
LOC117684936 lcl|NC_047559.1_prot_XP_034314932.1_238
LOC117684936 lcl|NC_047559.1_prot_XP_034314937.1_239
LOC105335931 lcl|NC_047559.1_prot_XP_034314938.1_240
LOC105335931 lcl|NC_047559.1_prot_XP_034314946.1_241
LOC105335914 lcl|NC_047559.1_prot_XP_019926041.2_242
LOC105335914 lcl|NC_047559.1_prot_XP_034329379.1_243
LOC105335914 lcl|NC_047559.1_prot_XP_011438358.3_244
LOC105335914 lcl|NC_047559.1_prot_XP_034329312.1_245
LOC105337473 lcl|NC_047559.1_prot_XP_034308982.1_246
LOC117687134 lcl|NC_047559.1_prot_XP_034319226.1_247
LOC117683566 lcl|NC_047559.1_prot_XP_034308954.1_248
LOC117683566 lcl|NC_047559.1_prot_XP_034308959.1_249
LOC117683566 lcl|NC_047559.1_prot_XP_034308963.1_250
LOC117683566 lcl|NC_047559.1_prot_XP_034308973.1_251
LOC117683687 lcl|NC_047559.1_prot_XP_034309318.1_252
LOC117680453 lcl|NC_047559.1_prot_XP_034309401.1_253
LOC117683639 lcl|NC_047559.1_prot_XP_034309196.1_254
LOC117683649 lcl|NC_047559.1_prot_XP_034309220.1_255
LOC117683649 lcl|NC_047559.1_prot_XP_034309223.1_256
LOC105337358 lcl|NC_047559.1_prot_XP_011440349.2_257
LOC105337358 lcl|NC_047559.1_prot_XP_011440347.2_258
LOC105337358 lcl|NC_047559.1_prot_XP_019926625.2_259
LOC105337358 lcl|NC_047559.1_prot_XP_011440348.2_260
LOC105337358 lcl|NC_047559.1_prot_XP_019926626.2_261
LOC105337358 lcl|NC_047559.1_prot_XP_034309167.1_262
LOC117683688 lcl|NC_047559.1_prot_XP_034309347.1_263
LOC117683616 lcl|NC_047559.1_prot_XP_034309107.1_264
LOC117683616 lcl|NC_047559.1_prot_XP_034309110.1_265
LOC117683616 lcl|NC_047559.1_prot_XP_034309116.1_266
LOC105337393 lcl|NC_047559.1_prot_XP_034309091.1_267
LOC109619877 lcl|NC_047559.1_prot_XP_019926627.1_268
LOC117683699 lcl|NC_047559.1_prot_XP_034309373.1_269
LOC117683701 lcl|NC_047559.1_prot_XP_034309385.1_270
LOC117683678 lcl|NC_047559.1_prot_XP_034309292.1_271
LOC117683678 lcl|NC_047559.1_prot_XP_034309270.1_272
LOC117683678 lcl|NC_047559.1_prot_XP_034309282.1_273
LOC105337365 lcl|NC_047559.1_prot_XP_011440364.2_274
LOC105337365 lcl|NC_047559.1_prot_XP_011440359.2_275
LOC105337365 lcl|NC_047559.1_prot_XP_011440363.2_276
LOC105337365 lcl|NC_047559.1_prot_XP_011440361.2_277
LOC105337365 lcl|NC_047559.1_prot_XP_011440362.2_278
LOC105337365 lcl|NC_047559.1_prot_XP_019926629.2_279
LOC105327168 lcl|NC_047559.1_prot_XP_034308927.1_280
LOC105327168 lcl|NC_047559.1_prot_XP_034308935.1_281
LOC105327168 lcl|NC_047559.1_prot_XP_034308943.1_282
LOC117687137 lcl|NC_047559.1_prot_XP_034319238.1_283
LOC105327195 lcl|NC_047559.1_prot_XP_019922322.2_284
LOC105326744 lcl|NC_047559.1_prot_XP_011425228.2_285
LOC105326746 lcl|NC_047559.1_prot_XP_034309201.1_286
LOC105326746 lcl|NC_047559.1_prot_XP_034309207.1_287
LOC105326746 lcl|NC_047559.1_prot_XP_019922138.2_288
LOC117680455 lcl|NC_047559.1_prot_XP_034309173.1_289
LOC117680455 lcl|NC_047559.1_prot_XP_034309180.1_290
LOC117680455 lcl|NC_047559.1_prot_XP_034309184.1_291
LOC117680455 lcl|NC_047559.1_prot_XP_034309190.1_292
LOC105337361 lcl|NC_047559.1_prot_XP_011440352.3_293
LOC105337360 lcl|NC_047559.1_prot_XP_034309124.1_294
LOC105337360 lcl|NC_047559.1_prot_XP_011440351.2_295
LOC117683607 lcl|NC_047559.1_prot_XP_034309095.1_296
LOC117683607 lcl|NC_047559.1_prot_XP_034309100.1_297
LOC117683600 lcl|NC_047559.1_prot_XP_034309083.1_298
LOC117683719 lcl|NC_047559.1_prot_XP_034309422.1_299
LOC105337362 lcl|NC_047559.1_prot_XP_034309362.1_300
LOC105337363 lcl|NC_047559.1_prot_XP_011440355.2_301
LOC117683663 lcl|NC_047559.1_prot_XP_034309245.1_302
LOC117683663 lcl|NC_047559.1_prot_XP_034309259.1_303
LOC117683663 lcl|NC_047559.1_prot_XP_034309252.1_304
LOC117680428 lcl|NC_047559.1_prot_XP_034309045.1_305
LOC117680428 lcl|NC_047559.1_prot_XP_034309008.1_306
LOC117680428 lcl|NC_047559.1_prot_XP_034309017.1_307
LOC117680428 lcl|NC_047559.1_prot_XP_034309020.1_308
LOC117680428 lcl|NC_047559.1_prot_XP_034309025.1_309
LOC117680428 lcl|NC_047559.1_prot_XP_034309035.1_310
LOC105337368 lcl|NC_047559.1_prot_XP_011440368.2_311
LOC105337367 lcl|NC_047559.1_prot_XP_011440365.2_312
LOC105337369 lcl|NC_047559.1_prot_XP_011440369.1_313
LOC109618958 lcl|NC_047559.1_prot_XP_034308992.1_314
LOC105337369 lcl|NC_047559.1_prot_XP_011440370.1_315
LOC105337369 lcl|NC_047559.1_prot_XP_011440371.1_316
LOC105342725 lcl|NC_047559.1_prot_XP_034309458.1_317
LOC105337370 lcl|NC_047559.1_prot_XP_011440372.2_318
LOC105337370 lcl|NC_047559.1_prot_XP_011440373.2_319
LOC105337371 lcl|NC_047559.1_prot_XP_034309486.1_320
LOC105337371 lcl|NC_047559.1_prot_XP_011440374.1_321
LOC105337373 lcl|NC_047559.1_prot_XP_011440375.2_322
LOC105337374 lcl|NC_047559.1_prot_XP_011440381.1_323
LOC105337374 lcl|NC_047559.1_prot_XP_011440378.1_324
LOC105337374 lcl|NC_047559.1_prot_XP_011440380.1_325
LOC105337374 lcl|NC_047559.1_prot_XP_011440376.1_326
LOC105337374 lcl|NC_047559.1_prot_XP_011440377.1_327
LOC105337374 lcl|NC_047559.1_prot_XP_034309542.1_328
LOC105337374 lcl|NC_047559.1_prot_XP_011440382.1_329
LOC105337394 lcl|NC_047559.1_prot_XP_011440404.2_330
LOC105337375 lcl|NC_047559.1_prot_XP_011440383.2_331
LOC105337375 lcl|NC_047559.1_prot_XP_011440384.2_332
LOC105337376 lcl|NC_047559.1_prot_XP_011440385.1_333
LOC105337377 lcl|NC_047559.1_prot_XP_011440386.2_334
LOC105337379 lcl|NC_047559.1_prot_XP_011440387.2_335
LOC105324274 lcl|NC_047559.1_prot_XP_034309629.1_336
LOC105331846 lcl|NC_047559.1_prot_XP_011432513.2_337
LOC105331846 lcl|NC_047559.1_prot_XP_011432514.2_338
LOC105331846 lcl|NC_047559.1_prot_XP_011432516.2_339
LOC105331846 lcl|NC_047559.1_prot_XP_034309610.1_340
LOC105331846 lcl|NC_047559.1_prot_XP_034309621.1_341
LOC105331845 lcl|NC_047559.1_prot_XP_011432511.2_342
LOC105331845 lcl|NC_047559.1_prot_XP_034309645.1_343
LOC105331845 lcl|NC_047559.1_prot_XP_034309650.1_344
LOC105331845 lcl|NC_047559.1_prot_XP_034309659.1_345
LOC105331844 lcl|NC_047559.1_prot_XP_019924303.2_346
LOC105323503 lcl|NC_047559.1_prot_XP_034309716.1_347
LOC105331842 lcl|NC_047559.1_prot_XP_034309685.1_348
LOC105331842 lcl|NC_047559.1_prot_XP_034309675.1_349
LOC105331842 lcl|NC_047559.1_prot_XP_011432505.2_350
LOC105331842 lcl|NC_047559.1_prot_XP_034309681.1_351
LOC105331842 lcl|NC_047559.1_prot_XP_034309670.1_352
LOC105331841 lcl|NC_047559.1_prot_XP_034309698.1_353
LOC109619196 lcl|NC_047559.1_prot_XP_034309726.1_354
LOC105331840 lcl|NC_047559.1_prot_XP_034309742.1_355
LOC105331840 lcl|NC_047559.1_prot_XP_034309750.1_356
LOC105331840 lcl|NC_047559.1_prot_XP_034309756.1_357
LOC105331840 lcl|NC_047559.1_prot_XP_034309767.1_358
LOC105331840 lcl|NC_047559.1_prot_XP_034309747.1_359
LOC109619190 lcl|NC_047559.1_prot_XP_019924271.2_360
LOC105331839 lcl|NC_047559.1_prot_XP_011432500.2_361
LOC105331837 lcl|NC_047559.1_prot_XP_019924301.2_362
LOC105331854 lcl|NC_047559.1_prot_XP_034319255.1_363
LOC117687154 lcl|NC_047559.1_prot_XP_034319266.1_364
LOC105341168 lcl|NC_047559.1_prot_XP_034309804.1_365
LOC117687155 lcl|NC_047559.1_prot_XP_034319274.1_366
LOC117682707 lcl|NC_047559.1_prot_XP_034306788.1_367
LOC105338364 lcl|NC_047559.1_prot_XP_019927029.2_368
LOC105338364 lcl|NC_047559.1_prot_XP_011441749.2_369
LOC105338363 lcl|NC_047559.1_prot_XP_011441748.2_370
LOC105338361 lcl|NC_047559.1_prot_XP_011441746.2_371
LOC105338360 lcl|NC_047559.1_prot_XP_011441745.1_372
LOC105338369 lcl|NC_047559.1_prot_XP_034306824.1_373
LOC105338359 lcl|NC_047559.1_prot_XP_034306957.1_374
LOC105338359 lcl|NC_047559.1_prot_XP_034306935.1_375
LOC105338359 lcl|NC_047559.1_prot_XP_034306946.1_376
LOC105338358 lcl|NC_047559.1_prot_XP_034306831.1_377
LOC105338357 lcl|NC_047559.1_prot_XP_034306924.1_378
LOC105338357 lcl|NC_047559.1_prot_XP_034306880.1_379
LOC105338357 lcl|NC_047559.1_prot_XP_034306915.1_380
LOC105338357 lcl|NC_047559.1_prot_XP_034306902.1_381
LOC105338357 lcl|NC_047559.1_prot_XP_034306888.1_382
LOC105338357 lcl|NC_047559.1_prot_XP_011441733.1_383
LOC105338357 lcl|NC_047559.1_prot_XP_011441741.1_384
LOC105338357 lcl|NC_047559.1_prot_XP_011441736.1_385
LOC105338357 lcl|NC_047559.1_prot_XP_011441740.1_386
LOC105338357 lcl|NC_047559.1_prot_XP_011441735.1_387
LOC105338357 lcl|NC_047559.1_prot_XP_011441739.1_388
LOC105338357 lcl|NC_047559.1_prot_XP_011441734.1_389
LOC105338357 lcl|NC_047559.1_prot_XP_011441737.1_390
LOC105338357 lcl|NC_047559.1_prot_XP_034306854.1_391
LOC105338357 lcl|NC_047559.1_prot_XP_034306857.1_392
LOC105338357 lcl|NC_047559.1_prot_XP_011441731.1_393
LOC105338356 lcl|NC_047559.1_prot_XP_034306981.1_394
LOC105338356 lcl|NC_047559.1_prot_XP_011441728.3_395
LOC105338356 lcl|NC_047559.1_prot_XP_034306969.1_396
LOC105338354 lcl|NC_047559.1_prot_XP_011441723.2_397
LOC105338354 lcl|NC_047559.1_prot_XP_011441724.2_398
LOC105338354 lcl|NC_047559.1_prot_XP_011441725.2_399
LOC105338354 lcl|NC_047559.1_prot_XP_019927023.2_400
LOC105338355 lcl|NC_047559.1_prot_XP_011441726.1_401
LOC105338353 lcl|NC_047559.1_prot_XP_011441722.2_402
LOC105338353 lcl|NC_047559.1_prot_XP_011441721.2_403
LOC105326415 lcl|NC_047559.1_prot_XP_011424728.2_404
LOC105326415 lcl|NC_047559.1_prot_XP_011424729.2_405
LOC105326415 lcl|NC_047559.1_prot_XP_034307042.1_406
LOC105326414 lcl|NC_047559.1_prot_XP_034307031.1_407
LOC105326417 lcl|NC_047559.1_prot_XP_011424735.2_408
LOC105326417 lcl|NC_047559.1_prot_XP_011424733.2_409
LOC105326417 lcl|NC_047559.1_prot_XP_011424736.2_410
LOC105326417 lcl|NC_047559.1_prot_XP_034307099.1_411
LOC105326417 lcl|NC_047559.1_prot_XP_011424738.2_412
LOC105326416 lcl|NC_047559.1_prot_XP_011424732.2_413
LOC105326416 lcl|NC_047559.1_prot_XP_034307082.1_414
LOC105326416 lcl|NC_047559.1_prot_XP_019921996.2_415
LOC109617077 lcl|NC_047559.1_prot_XP_034307072.1_416
LOC109617077 lcl|NC_047559.1_prot_XP_034307055.1_417
LOC109617077 lcl|NC_047559.1_prot_XP_034307061.1_418
LOC109617077 lcl|NC_047559.1_prot_XP_034307067.1_419
LOC105326418 lcl|NC_047559.1_prot_XP_011424740.1_420
LOC117687163 lcl|NC_047559.1_prot_XP_034319283.1_421
LOC117682815 lcl|NC_047559.1_prot_XP_034307141.1_422
LOC105326419 lcl|NC_047559.1_prot_XP_034307165.1_423
